Samples	Signature A
Sample581	0.00E+00
Sample582	0.00E+00
Sample583	0.00E+00
Sample584	0.00E+00
Sample585	0.00E+00
Sample586	0.00E+00
Sample587	0.00E+00
Sample588	0.00E+00
Sample589	0.00E+00
Sample590	0.00E+00
Sample591	0.00E+00
Sample592	0.00E+00
Sample593	0.00E+00
Sample594	0.00E+00
Sample595	0.00E+00
Sample596	0.00E+00
Sample597	0.00E+00
Sample598	0.00E+00
Sample599	0.00E+00
Sample600	0.00E+00
Sample601	0.00E+00
Sample602	0.00E+00
Sample603	0.00E+00
Sample604	0.00E+00
Sample605	0.00E+00
Sample606	0.00E+00
Sample607	0.00E+00
Sample608	0.00E+00
Sample609	0.00E+00
Sample610	0.00E+00
Sample611	0.00E+00
Sample612	0.00E+00
Sample613	0.00E+00
Sample614	0.00E+00
Sample615	0.00E+00
Sample616	0.00E+00
Sample617	0.00E+00
Sample618	0.00E+00
Sample619	0.00E+00
Sample620	0.00E+00
Sample621	0.00E+00
Sample622	0.00E+00
Sample623	0.00E+00
Sample624	0.00E+00
Sample625	0.00E+00
Sample626	0.00E+00
Sample627	0.00E+00
Sample628	0.00E+00
Sample629	0.00E+00
Sample630	0.00E+00
Sample631	0.00E+00
Sample632	0.00E+00
Sample633	0.00E+00
Sample634	0.00E+00
Sample635	0.00E+00
Sample636	0.00E+00
Sample637	0.00E+00
Sample638	0.00E+00
Sample639	0.00E+00
Sample640	0.00E+00
Sample641	0.00E+00
Sample642	0.00E+00
Sample643	0.00E+00
Sample644	0.00E+00
Sample645	0.00E+00
Sample646	0.00E+00
Sample647	0.00E+00
Sample648	0.00E+00
Sample649	0.00E+00
Sample650	0.00E+00
Sample651	0.00E+00
Sample652	0.00E+00
Sample653	0.00E+00
Sample654	0.00E+00
Sample655	0.00E+00
Sample656	0.00E+00
Sample657	0.00E+00
Sample658	0.00E+00
Sample659	0.00E+00
Sample660	0.00E+00
Sample661	0.00E+00
Sample662	0.00E+00
Sample663	0.00E+00
Sample664	0.00E+00
Sample665	0.00E+00
Sample666	0.00E+00
Sample667	0.00E+00
Sample668	0.00E+00
Sample669	0.00E+00
Sample670	0.00E+00
Sample671	0.00E+00
Sample672	0.00E+00
Sample673	0.00E+00
Sample674	0.00E+00
Sample675	0.00E+00
Sample676	0.00E+00
Sample677	0.00E+00
Sample678	0.00E+00
Sample679	0.00E+00
Sample680	0.00E+00
Sample681	0.00E+00
Sample682	0.00E+00
Sample683	0.00E+00
Sample684	0.00E+00
Sample685	0.00E+00
Sample686	0.00E+00
Sample687	0.00E+00
Sample688	0.00E+00
Sample689	0.00E+00
Sample690	0.00E+00
Sample691	0.00E+00
Sample692	0.00E+00
Sample693	0.00E+00
Sample694	0.00E+00
Sample695	0.00E+00
Sample696	0.00E+00
Sample697	0.00E+00
Sample698	0.00E+00
Sample699	0.00E+00
Sample700	0.00E+00
Sample701	0.00E+00
Sample702	0.00E+00
Sample703	0.00E+00
Sample704	0.00E+00
Sample705	0.00E+00
Sample706	0.00E+00
Sample707	0.00E+00
Sample708	0.00E+00
Sample709	0.00E+00
Sample710	0.00E+00
Sample711	0.00E+00
Sample712	0.00E+00
Sample713	0.00E+00
Sample714	0.00E+00
Sample715	0.00E+00
Sample716	0.00E+00
Sample717	0.00E+00
Sample718	0.00E+00
Sample719	0.00E+00
Sample720	0.00E+00
Sample721	0.00E+00
Sample722	0.00E+00
Sample723	0.00E+00
Sample724	0.00E+00
Sample725	0.00E+00
Sample726	0.00E+00
Sample727	0.00E+00
Sample728	0.00E+00
Sample729	0.00E+00
Sample730	0.00E+00
Sample731	0.00E+00
Sample732	0.00E+00
Sample733	0.00E+00
Sample734	0.00E+00
Sample735	0.00E+00
Sample736	0.00E+00
Sample737	0.00E+00
Sample738	0.00E+00
Sample739	0.00E+00
Sample740	0.00E+00
Sample741	0.00E+00
Sample742	0.00E+00
Sample743	0.00E+00
Sample744	0.00E+00
Sample745	0.00E+00
Sample746	0.00E+00
Sample747	0.00E+00
Sample748	0.00E+00
Sample749	0.00E+00
Sample750	0.00E+00
Sample751	0.00E+00
Sample752	0.00E+00
Sample753	0.00E+00
Sample754	0.00E+00
Sample755	0.00E+00
Sample756	0.00E+00
Sample757	0.00E+00
Sample758	0.00E+00
Sample759	0.00E+00
Sample760	0.00E+00
Sample761	0.00E+00
Sample762	0.00E+00
Sample763	0.00E+00
Sample764	0.00E+00
Sample765	0.00E+00
Sample766	0.00E+00
Sample767	0.00E+00
Sample768	0.00E+00
Sample769	0.00E+00
Sample770	0.00E+00
Sample771	0.00E+00
Sample772	0.00E+00
Sample773	0.00E+00
Sample774	0.00E+00
Sample775	0.00E+00
Sample776	0.00E+00
Sample777	0.00E+00
Sample778	0.00E+00
Sample779	0.00E+00
Sample780	0.00E+00
Sample781	0.00E+00
Sample782	0.00E+00
Sample783	0.00E+00
Sample784	0.00E+00
Sample785	0.00E+00
Sample786	0.00E+00
Sample787	0.00E+00
Sample788	0.00E+00
Sample789	0.00E+00
Sample790	0.00E+00
Sample791	0.00E+00
Sample792	0.00E+00
Sample793	0.00E+00
Sample794	0.00E+00
Sample795	0.00E+00
Sample796	0.00E+00
Sample797	0.00E+00
Sample798	0.00E+00
Sample799	0.00E+00
Sample800	0.00E+00
Sample801	0.00E+00
Sample802	0.00E+00
Sample803	0.00E+00
Sample804	0.00E+00
Sample805	0.00E+00
Sample806	0.00E+00
Sample807	0.00E+00
Sample808	0.00E+00
Sample809	0.00E+00
Sample810	0.00E+00
Sample811	0.00E+00
Sample812	0.00E+00
Sample813	0.00E+00
Sample814	0.00E+00
Sample815	0.00E+00
Sample816	0.00E+00
Sample817	0.00E+00
Sample818	0.00E+00
Sample819	0.00E+00
Sample820	0.00E+00
Sample821	0.00E+00
Sample822	0.00E+00
Sample823	0.00E+00
Sample824	0.00E+00
Sample825	0.00E+00
Sample826	0.00E+00
Sample827	0.00E+00
Sample828	0.00E+00
Sample829	0.00E+00
Sample830	0.00E+00
Sample831	0.00E+00
Sample832	0.00E+00
Sample833	0.00E+00
Sample834	0.00E+00
Sample835	0.00E+00
Sample836	0.00E+00
Sample837	0.00E+00
Sample838	0.00E+00
Sample839	0.00E+00
Sample840	0.00E+00
Sample841	0.00E+00
Sample842	0.00E+00
Sample843	0.00E+00
Sample844	0.00E+00
Sample845	0.00E+00
Sample846	0.00E+00
Sample847	0.00E+00
Sample848	0.00E+00
Sample849	0.00E+00
Sample850	0.00E+00
Sample851	0.00E+00
Sample852	0.00E+00
Sample853	0.00E+00
Sample854	0.00E+00
Sample855	0.00E+00
Sample856	0.00E+00
Sample857	0.00E+00
Sample858	0.00E+00
Sample859	0.00E+00
Sample860	0.00E+00
Sample861	0.00E+00
Sample862	0.00E+00
Sample863	0.00E+00
Sample864	0.00E+00
Sample865	0.00E+00
Sample866	0.00E+00
Sample867	0.00E+00
Sample868	0.00E+00
Sample869	0.00E+00
Sample870	0.00E+00
Sample871	0.00E+00
Sample872	0.00E+00
Sample873	0.00E+00
Sample874	0.00E+00
Sample875	0.00E+00
Sample876	0.00E+00
Sample877	0.00E+00
Sample878	0.00E+00
Sample879	0.00E+00
Sample880	0.00E+00
Sample881	0.00E+00
Sample882	0.00E+00
Sample883	0.00E+00
Sample884	0.00E+00
Sample885	0.00E+00
Sample886	0.00E+00
Sample887	0.00E+00
Sample888	0.00E+00
Sample889	0.00E+00
Sample890	0.00E+00
Sample891	0.00E+00
Sample892	0.00E+00
Sample893	0.00E+00
Sample894	0.00E+00
Sample895	0.00E+00
Sample896	0.00E+00
Sample897	0.00E+00
Sample898	0.00E+00
Sample899	0.00E+00
Sample900	0.00E+00
Sample901	0.00E+00
Sample902	0.00E+00
Sample903	0.00E+00
Sample904	0.00E+00
Sample905	0.00E+00
Sample906	0.00E+00
Sample907	0.00E+00
Sample908	0.00E+00
Sample909	0.00E+00
Sample910	0.00E+00
Sample911	0.00E+00
Sample912	0.00E+00
Sample913	0.00E+00
Sample914	0.00E+00
Sample915	0.00E+00
Sample916	0.00E+00
Sample917	0.00E+00
Sample918	0.00E+00
Sample919	0.00E+00
Sample920	0.00E+00
Sample921	0.00E+00
Sample922	0.00E+00
Sample923	0.00E+00
Sample924	0.00E+00
Sample925	0.00E+00
Sample926	0.00E+00
Sample927	0.00E+00
Sample928	0.00E+00
Sample929	0.00E+00
Sample930	0.00E+00
Sample931	0.00E+00
Sample932	0.00E+00
Sample933	0.00E+00
Sample934	0.00E+00
Sample935	0.00E+00
Sample936	0.00E+00
Sample937	0.00E+00
Sample938	0.00E+00
Sample939	0.00E+00
Sample940	0.00E+00
Sample941	0.00E+00
Sample942	0.00E+00
Sample943	0.00E+00
Sample944	0.00E+00
Sample945	0.00E+00
Sample946	0.00E+00
Sample947	0.00E+00
Sample948	0.00E+00
Sample949	0.00E+00
Sample950	0.00E+00
Sample951	0.00E+00
Sample952	0.00E+00
Sample953	0.00E+00
Sample954	0.00E+00
Sample955	0.00E+00
Sample956	0.00E+00
Sample957	0.00E+00
Sample958	0.00E+00
Sample959	0.00E+00
Sample960	0.00E+00
Sample961	0.00E+00
Sample962	0.00E+00
Sample963	0.00E+00
Sample964	0.00E+00
Sample965	0.00E+00
Sample966	0.00E+00
Sample967	0.00E+00
Sample968	0.00E+00
Sample969	0.00E+00
Sample970	0.00E+00
Sample971	0.00E+00
Sample972	0.00E+00
Sample973	0.00E+00
Sample974	0.00E+00
Sample975	0.00E+00
Sample976	0.00E+00
Sample977	0.00E+00
Sample978	0.00E+00
Sample979	0.00E+00
Sample980	0.00E+00
Sample981	0.00E+00
Sample982	0.00E+00
Sample983	0.00E+00
Sample984	0.00E+00
Sample985	0.00E+00
Sample986	0.00E+00
Sample987	0.00E+00
Sample988	0.00E+00
Sample989	0.00E+00
Sample990	0.00E+00
Sample991	0.00E+00
Sample992	0.00E+00
