Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample84	2.66E+01	1.29E+01	1.83E+01	9.95E+00	2.52E+01	2.07E+01	6.19E+00	1.98E+01	3.16E+01
Sample85	2.11E+01	9.51E+00	1.79E+01	5.69E+00	1.97E+01	3.17E+01	5.23E+00	3.68E+01	1.17E+01
Sample86	1.46E+01	1.56E+01	2.10E+01	1.70E+01	2.53E+01	2.25E+01	1.58E+01	2.20E+01	2.08E+01
Sample87	3.03E+01	7.46E+00	2.86E+01	1.10E+01	2.38E+01	8.70E+00	9.42E+00	1.17E+01	2.09E+01
Sample88	3.25E+01	6.83E+00	9.38E+00	6.30E+00	4.33E+01	9.57E+00	4.61E+00	2.52E+01	1.42E+01
Sample89	2.69E+01	7.55E+00	9.00E+00	9.98E+00	3.15E+01	1.27E+01	1.30E+01	7.78E+00	2.14E+01
Sample90	2.46E+01	1.02E+01	1.58E+01	6.93E+00	2.78E+01	8.98E+00	8.88E+00	1.22E+01	1.26E+01
Sample91	2.66E+01	5.74E+00	1.65E+01	7.90E+00	1.60E+01	8.76E+00	1.14E+01	1.52E+01	2.00E+01
Sample92	2.25E+01	1.09E+01	5.66E+00	9.97E+00	2.25E+01	5.89E+00	1.10E+01	1.86E+01	1.72E+01
Sample93	1.36E+01	9.00E+00	1.85E+01	9.96E+00	1.84E+01	6.24E+00	8.39E+00	1.43E+01	1.73E+01
Sample94	2.14E+01	5.15E+00	1.73E+01	1.58E+01	2.45E+01	1.06E+01	7.35E+00	9.98E+00	2.20E+01
Sample95	2.83E+01	9.00E+00	9.86E+00	1.03E+01	3.34E+01	8.83E+00	9.22E+00	1.98E+01	1.65E+01
Sample96	3.52E+01	1.12E+01	1.84E+01	1.21E+01	3.32E+01	1.21E+01	1.05E+01	1.58E+01	1.78E+01
Sample97	2.34E+01	8.35E+00	2.02E+01	9.97E+00	3.21E+01	9.17E+00	5.68E+00	9.04E+00	1.19E+01
Sample98	1.53E+01	4.44E+00	1.56E+01	1.85E+01	2.58E+01	1.56E+01	8.34E+00	2.25E+01	1.19E+01
Sample99	2.56E+01	1.25E+01	2.20E+01	8.43E+00	3.39E+01	2.20E+01	6.94E+00	2.38E+01	2.32E+01
Sample100	2.34E+01	1.20E+01	2.04E+01	9.49E+00	4.07E+01	1.05E+01	9.71E+00	8.38E+00	2.17E+01
Sample101	3.31E+01	7.43E+00	1.14E+01	5.84E+00	3.09E+01	9.00E+00	4.27E+00	1.38E+01	1.80E+01
Sample102	2.35E+01	7.67E+00	2.34E+01	9.54E+00	1.91E+01	2.52E+01	8.23E+00	2.64E+01	2.38E+01
Sample103	2.10E+01	4.87E+00	1.45E+01	8.67E+00	2.46E+01	1.08E+01	4.57E+00	1.83E+01	1.48E+01
Sample104	4.50E+01	2.01E+01	3.44E+01	1.06E+01	2.92E+01	1.86E+01	1.40E+01	2.14E+01	1.87E+01
Sample105	1.60E+01	1.08E+01	3.03E+01	5.35E+00	2.19E+01	2.19E+01	9.94E+00	2.49E+01	2.98E+01
Sample106	2.39E+01	7.30E+00	1.63E+01	8.33E+00	1.61E+01	1.14E+01	1.02E+01	9.89E+00	9.60E+00
Sample107	2.67E+01	9.59E+00	2.17E+01	5.83E+00	2.54E+01	8.78E+00	9.76E+00	1.65E+01	2.54E+01
Sample108	3.25E+01	5.77E+00	2.61E+01	1.52E+01	3.47E+01	1.56E+01	8.65E+00	1.18E+01	1.85E+01
Sample109	2.14E+01	3.97E+00	1.42E+01	1.34E+01	1.49E+01	1.16E+01	1.21E+01	1.52E+01	1.84E+01
Sample110	1.96E+01	2.28E+01	1.82E+01	8.90E+00	1.86E+01	2.37E+01	4.40E+00	2.57E+01	2.10E+01
Sample111	1.50E+01	7.94E+00	2.29E+01	1.63E+01	2.00E+01	2.36E+01	1.08E+01	1.47E+01	1.91E+01
Sample112	2.20E+01	6.37E+00	1.88E+01	3.91E+00	2.52E+01	1.11E+01	7.82E+00	9.85E+00	1.99E+01
Sample113	2.15E+01	1.31E+01	4.96E+01	1.27E+01	2.64E+01	6.04E+00	1.01E+01	1.35E+01	2.90E+01
Sample114	2.31E+01	2.53E+01	2.17E+01	1.25E+01	2.26E+01	1.20E+01	1.22E+01	1.94E+01	1.64E+01
Sample115	1.69E+01	9.62E+00	1.24E+01	7.80E+00	1.65E+01	9.19E+00	6.72E+00	2.16E+01	1.71E+01
Sample116	3.03E+01	7.44E+00	2.58E+01	1.01E+01	1.52E+01	7.88E+00	1.22E+01	2.35E+01	3.15E+01
Sample117	3.16E+01	9.17E+00	1.30E+01	1.26E+01	2.96E+01	1.04E+01	1.05E+01	1.73E+01	1.49E+01
Sample118	3.05E+01	2.55E+00	1.56E+01	1.24E+01	3.98E+01	6.19E+00	1.28E+01	1.50E+01	2.36E+01
Sample119	9.72E+00	3.99E+00	2.55E+01	2.23E+01	1.55E+01	1.52E+01	9.45E+00	1.30E+01	1.23E+01
Sample120	2.62E+01	1.08E+01	3.84E+01	1.57E+01	1.73E+01	7.91E+00	8.03E+00	2.09E+01	2.18E+01
Sample121	2.64E+01	1.79E+01	1.15E+01	6.22E+00	2.57E+01	1.08E+01	9.30E+00	1.43E+01	1.30E+01
Sample122	1.52E+01	7.34E+00	1.96E+01	9.28E+00	2.25E+01	1.64E+01	8.82E+00	7.38E+00	1.53E+01
Sample123	1.91E+01	7.62E+00	3.21E+01	1.82E+01	1.86E+01	8.22E+00	1.29E+01	1.88E+01	1.77E+01
Sample124	2.55E+01	1.61E+01	2.12E+01	1.22E+01	1.39E+01	2.58E+01	1.12E+01	3.64E+01	2.28E+01
Sample125	1.43E+01	1.15E+01	1.32E+01	7.97E+00	1.04E+01	2.26E+01	8.19E+00	2.07E+01	2.31E+01
Sample126	2.26E+01	6.25E+00	1.66E+01	1.63E+01	2.24E+01	9.28E+00	8.06E+00	2.51E+01	1.64E+01
Sample127	1.49E+01	1.45E+01	4.49E+01	2.06E+01	2.28E+01	9.84E+00	1.22E+01	2.18E+01	3.06E+01
Sample128	3.16E+01	3.84E+00	2.05E+01	5.89E+00	2.34E+01	4.77E+00	6.12E+00	1.58E+01	1.85E+01
Sample129	2.85E+01	2.23E+00	1.61E+01	7.95E+00	1.79E+01	6.01E+00	1.10E+01	8.43E+00	2.28E+01
Sample130	2.39E+01	6.85E+00	1.66E+01	1.11E+01	2.32E+01	1.42E+01	8.90E+00	1.61E+01	2.26E+01
Sample131	1.54E+01	5.90E+00	1.35E+01	8.33E+00	2.28E+01	1.00E+01	9.50E+00	1.44E+01	1.50E+01
Sample132	2.56E+01	5.28E+00	2.04E+01	6.19E+00	3.42E+01	9.83E+00	8.16E+00	1.17E+01	1.27E+01
Sample133	3.84E+01	4.92E+00	1.48E+01	1.34E+01	3.57E+01	9.41E+00	9.95E+00	4.56E+00	1.28E+01
Sample134	2.03E+01	4.72E+00	1.18E+01	8.29E+00	1.94E+01	8.82E+00	8.84E+00	2.00E+01	1.94E+01
Sample135	2.98E+01	1.14E+01	2.50E+01	2.95E+00	1.51E+01	4.60E+00	6.17E+00	1.89E+01	1.85E+01
Sample136	1.92E+01	1.04E+01	1.64E+01	7.87E+00	7.53E+00	7.44E+00	8.39E+00	1.77E+01	1.45E+01
Sample137	2.48E+01	8.01E+00	2.63E+01	9.55E+00	2.82E+01	1.23E+01	1.13E+01	1.57E+01	2.04E+01
Sample138	2.61E+01	1.08E+01	1.87E+01	1.74E+01	2.11E+01	2.25E+01	9.23E+00	2.34E+01	1.44E+01
Sample139	1.41E+01	1.31E+01	1.03E+01	1.62E+01	8.21E+00	1.39E+01	1.14E+01	1.57E+01	1.45E+01
Sample140	1.84E+01	7.74E+00	2.05E+01	7.02E+00	2.59E+01	2.10E+01	8.81E+00	1.63E+01	1.96E+01
Sample141	2.26E+01	5.72E+00	1.41E+01	1.11E+01	2.62E+01	5.20E+00	1.05E+01	8.52E+00	1.79E+01
Sample142	1.90E+01	8.85E+00	1.80E+01	2.27E+01	2.35E+01	2.88E+01	1.13E+01	1.83E+01	2.94E+01
Sample143	2.54E+01	1.54E+01	1.79E+01	8.83E+00	2.78E+01	1.04E+01	1.59E+01	1.78E+01	1.84E+01
Sample144	2.37E+01	7.70E+00	2.02E+01	1.23E+01	2.02E+01	3.52E+01	8.08E+00	2.81E+01	1.95E+01
Sample145	1.55E+01	8.96E+00	1.72E+01	8.34E+00	1.75E+01	1.94E+01	9.83E+00	1.87E+01	1.97E+01
Sample146	3.71E+01	7.63E+00	1.30E+01	1.12E+01	4.34E+01	7.50E+00	5.91E+00	1.22E+01	2.40E+01
Sample147	2.16E+01	1.06E+01	8.14E+00	8.34E+00	2.08E+01	2.64E+01	1.58E+01	1.28E+01	1.68E+01
Sample148	2.23E+01	5.49E+00	2.02E+01	1.06E+01	2.16E+01	4.93E+00	6.12E+00	1.55E+01	1.03E+01
Sample149	9.05E+00	8.88E+00	3.53E+01	1.33E+01	2.80E+01	2.11E+01	1.27E+01	1.73E+01	3.16E+01
Sample150	2.77E+01	4.43E+00	1.96E+01	1.74E+01	2.48E+01	1.23E+01	8.47E+00	9.50E+00	2.37E+01
Sample151	1.69E+01	6.77E+00	6.60E+00	1.38E+01	2.40E+01	1.09E+01	6.69E+00	1.97E+01	2.21E+01
Sample152	3.56E+01	1.12E+01	1.90E+01	7.29E+00	3.85E+01	1.92E+01	6.84E+00	1.18E+01	1.81E+01
Sample153	2.75E+01	5.73E+00	1.85E+01	1.58E+01	3.53E+01	1.26E+01	7.33E+00	1.92E+01	2.56E+01
Sample154	2.42E+01	1.16E+01	2.56E+01	1.30E+01	2.04E+01	2.26E+01	1.34E+01	3.07E+01	1.78E+01
Sample155	2.67E+01	9.27E+00	1.95E+01	1.24E+01	1.58E+01	9.88E+00	1.39E+01	1.06E+01	1.93E+01
Sample156	2.83E+01	1.36E+01	2.50E+01	1.15E+01	2.11E+01	9.93E+00	7.32E+00	1.82E+01	1.27E+01
Sample157	2.59E+01	4.23E+00	1.74E+01	1.06E+01	3.04E+01	9.41E+00	1.08E+01	1.60E+01	2.49E+01
Sample158	1.95E+01	6.98E+00	1.45E+01	9.08E+00	2.05E+01	8.98E+00	6.63E+00	7.33E+00	1.67E+01
Sample159	2.20E+01	5.11E+00	8.00E+00	7.73E+00	1.34E+01	8.78E+00	8.93E+00	2.35E+01	1.31E+01
Sample160	2.51E+01	1.11E+01	2.06E+01	4.26E+00	2.38E+01	2.26E+01	1.17E+01	1.26E+01	1.09E+01
Sample161	2.57E+01	8.78E+00	2.84E+01	6.31E+00	2.61E+01	8.01E+00	7.05E+00	2.10E+01	1.96E+01
Sample162	2.03E+01	2.02E+01	3.21E+01	1.32E+01	9.70E+00	1.49E+01	1.03E+01	2.40E+01	1.56E+01
Sample163	2.60E+01	7.82E+00	1.27E+01	9.68E+00	1.98E+01	1.00E+01	5.99E+00	1.75E+01	1.69E+01
Sample164	2.23E+01	7.71E+00	1.40E+01	1.34E+01	2.93E+01	1.16E+01	7.59E+00	2.02E+01	1.09E+01
Sample165	1.45E+01	6.68E+00	1.21E+01	1.07E+01	2.42E+01	8.34E+00	1.04E+01	1.42E+01	1.63E+01
Sample166	2.81E+01	9.62E+00	1.32E+01	4.51E+00	2.06E+01	1.45E+01	4.86E+00	1.36E+01	2.53E+01
Sample167	2.08E+01	7.44E+00	2.32E+01	1.35E+01	3.32E+01	1.40E+01	7.13E+00	1.20E+01	2.12E+01
Sample168	2.31E+01	1.21E+01	3.47E+01	1.99E+01	1.29E+01	1.56E+01	7.46E+00	1.92E+01	1.43E+01
Sample169	1.46E+01	2.00E+01	2.30E+01	9.93E+00	1.96E+01	1.78E+01	7.75E+00	1.39E+01	1.56E+01
Sample170	2.56E+01	5.44E+00	1.46E+01	4.42E+00	2.33E+01	7.96E+00	8.43E+00	1.63E+01	1.57E+01
Sample171	4.17E+01	9.83E+00	1.13E+01	1.39E+01	3.91E+01	4.38E+00	7.90E+00	1.13E+01	1.70E+01
Sample172	2.01E+01	7.49E+00	3.00E+01	1.35E+01	2.68E+01	2.29E+01	5.01E+00	3.17E+01	2.34E+01
Sample173	2.48E+01	1.61E+01	1.84E+01	7.88E+00	2.13E+01	1.85E+01	1.39E+01	2.43E+01	1.34E+01
Sample174	3.13E+01	8.65E+00	2.05E+01	7.81E+00	2.37E+01	4.53E+00	8.97E+00	1.76E+01	1.52E+01
Sample175	2.64E+01	1.27E+01	1.81E+01	1.52E+01	2.72E+01	1.28E+01	5.92E+00	2.27E+01	2.10E+01
Sample176	3.66E+01	1.41E+01	2.95E+01	7.40E+00	2.28E+01	1.68E+01	1.49E+01	1.54E+01	1.67E+01
Sample177	2.65E+01	8.05E+00	1.94E+01	1.28E+01	1.91E+01	1.72E+01	8.20E+00	2.71E+01	2.08E+01
Sample178	2.92E+01	8.08E+00	1.48E+01	1.03E+01	2.63E+01	1.14E+01	1.42E+01	1.55E+01	1.88E+01
Sample179	1.81E+01	9.86E+00	1.03E+01	1.15E+01	2.73E+01	7.52E+00	8.11E+00	1.88E+01	1.28E+01
Sample180	5.29E+00	9.87E+00	1.38E+01	1.07E+01	2.25E+01	7.49E+00	1.22E+01	1.80E+01	2.06E+01
Sample181	3.04E+01	4.62E+00	1.20E+01	1.12E+01	2.39E+01	7.25E+00	4.96E+00	1.84E+01	2.13E+01
Sample182	1.74E+01	1.85E+01	2.26E+01	1.11E+01	4.87E+00	1.26E+01	1.03E+01	1.14E+01	1.07E+01
Sample183	2.94E+01	1.15E+01	1.99E+01	8.99E+00	1.86E+01	8.29E+00	8.15E+00	2.15E+01	2.19E+01
Sample184	2.15E+01	1.06E+01	2.55E+01	1.22E+01	1.44E+01	2.57E+01	5.13E+00	3.15E+01	2.16E+01
Sample185	1.04E+01	8.53E+00	2.28E+01	2.71E+01	2.65E+01	2.40E+01	1.02E+01	1.15E+01	1.51E+01
Sample186	2.43E+01	8.96E+00	3.41E+01	1.22E+01	1.87E+01	1.25E+01	1.01E+01	2.47E+01	2.09E+01
Sample187	2.20E+01	9.86E+00	1.62E+01	1.52E+01	4.68E+01	7.16E+00	1.10E+01	1.82E+01	2.50E+01
Sample188	2.12E+01	2.26E+01	1.95E+01	8.91E+00	1.80E+01	2.44E+01	1.52E+01	2.53E+01	1.63E+01
Sample189	2.16E+01	6.68E+00	2.50E+01	2.07E+01	3.00E+01	6.69E+00	1.22E+01	1.45E+01	2.36E+01
Sample190	2.50E+01	6.50E+00	1.46E+01	1.10E+01	2.87E+01	4.68E+00	6.59E+00	1.30E+01	1.33E+01
Sample191	2.46E+01	7.61E+00	1.51E+01	1.05E+01	1.68E+01	8.19E+00	7.56E+00	1.82E+01	1.81E+01
Sample192	2.78E+01	1.17E+01	5.45E+00	9.31E+00	2.13E+01	4.72E+00	1.08E+01	1.45E+01	1.03E+01
Sample193	2.00E+01	1.29E+01	4.19E+01	1.10E+01	1.89E+01	3.58E+00	7.15E+00	1.65E+01	2.49E+01
Sample194	2.11E+01	1.71E+01	2.61E+01	1.55E+01	1.88E+01	1.23E+01	1.34E+01	2.11E+01	2.11E+01
Sample195	2.74E+01	3.85E+00	1.70E+01	1.76E+01	1.88E+01	8.29E+00	9.62E+00	2.06E+01	9.04E+00
Sample196	1.62E+01	2.13E+01	4.86E+01	2.39E+01	2.12E+01	1.46E+01	2.58E+01	3.11E+01	3.30E+01
Sample197	1.23E+01	8.32E+00	1.87E+01	1.02E+01	1.86E+01	2.01E+01	6.22E+00	3.88E+01	1.42E+01
Sample198	2.61E+01	1.00E+01	1.65E+01	5.75E+00	1.44E+01	3.44E+00	7.36E+00	1.27E+01	1.91E+01
Sample199	1.54E+01	9.28E+00	1.00E+01	8.07E+00	2.04E+01	1.45E+01	7.74E+00	1.50E+01	8.95E+00
Sample200	2.11E+01	7.54E+00	1.94E+01	7.53E+00	2.60E+01	7.78E+00	8.48E+00	1.83E+01	1.58E+01
