Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample406	2.19E+01	1.16E+01	1.82E+01	9.64E+00	1.52E+01	3.24E+01	5.64E+00	4.12E+01	8.15E+00
Sample407	1.06E+01	9.80E+00	2.66E+01	1.43E+01	1.82E+01	1.14E+01	9.05E+00	1.09E+01	1.83E+01
Sample408	2.35E+01	1.12E+01	2.99E+01	1.60E+01	2.54E+01	5.60E+00	6.11E+00	1.73E+01	2.45E+01
Sample409	2.38E+01	1.71E+01	3.05E+01	1.11E+01	8.76E+00	2.66E+01	1.29E+01	3.96E+01	2.38E+01
Sample410	2.44E+01	5.70E+00	1.67E+01	6.43E+00	2.76E+01	7.38E+00	8.20E+00	1.98E+01	2.11E+01
Sample411	3.40E+01	5.16E+00	1.80E+01	8.43E+00	2.07E+01	1.69E+01	1.13E+01	2.22E+01	2.50E+01
Sample412	2.90E+01	8.48E+00	9.44E+00	6.89E+00	3.35E+01	9.47E+00	8.61E+00	2.27E+01	2.23E+01
Sample413	2.68E+01	9.06E+00	3.59E+01	1.21E+01	3.02E+01	2.58E+01	9.56E+00	4.05E+01	2.42E+01
Sample414	1.69E+01	1.21E+01	2.05E+01	1.48E+01	1.63E+01	2.76E+01	8.32E+00	1.82E+01	1.33E+01
Sample415	1.97E+01	8.90E+00	1.69E+01	9.38E+00	2.81E+01	1.13E+01	7.71E+00	2.19E+01	2.15E+01
Sample416	2.95E+01	1.70E+01	4.51E+01	2.33E+01	2.35E+01	7.82E+00	1.45E+01	2.09E+01	2.97E+01
Sample417	2.32E+01	1.21E+01	3.06E+01	1.98E+01	2.72E+01	1.05E+01	1.05E+01	2.03E+01	2.04E+01
Sample418	2.58E+01	1.48E+01	4.52E+01	9.63E+00	3.02E+01	5.13E+00	6.24E+00	1.92E+01	2.87E+01
Sample419	2.53E+01	5.62E+00	1.07E+01	8.82E+00	3.13E+01	8.60E+00	8.51E+00	2.07E+01	1.76E+01
Sample420	1.93E+01	6.62E+00	2.35E+01	2.75E+01	2.20E+01	2.65E+01	9.23E+00	9.96E+00	2.46E+01
Sample421	1.39E+01	1.31E+01	2.45E+01	9.94E+00	2.18E+01	2.94E+01	7.72E+00	3.38E+01	1.04E+01
Sample422	2.01E+01	9.65E+00	3.17E+01	3.02E+01	1.61E+01	2.30E+01	1.13E+01	8.86E+00	2.50E+01
Sample423	1.97E+01	7.02E+00	1.16E+01	9.69E+00	2.06E+01	6.96E+00	1.21E+01	1.09E+01	2.75E+01
Sample424	2.90E+01	1.29E+01	2.23E+01	8.18E+00	2.73E+01	2.08E+01	7.27E+00	2.99E+01	1.23E+01
Sample425	2.45E+01	6.68E+00	1.26E+01	1.26E+01	2.57E+01	8.40E+00	6.08E+00	2.37E+01	2.17E+01
Sample426	2.10E+01	8.32E+00	1.15E+01	6.16E+00	2.97E+01	1.24E+01	5.64E+00	2.12E+01	1.83E+01
Sample427	1.78E+01	4.42E+00	3.66E+01	2.59E+01	2.72E+01	2.56E+01	6.16E+00	1.61E+01	1.06E+01
Sample428	1.59E+01	6.32E+00	1.49E+01	8.48E+00	2.19E+01	7.86E+00	1.21E+01	2.03E+01	1.12E+01
Sample429	2.13E+01	1.45E+01	2.30E+01	1.28E+01	1.92E+01	7.67E+00	1.13E+01	1.63E+01	2.33E+01
Sample430	2.13E+01	8.26E+00	4.28E+01	1.97E+01	2.03E+01	3.32E+00	5.93E+00	1.72E+01	2.07E+01
Sample431	1.98E+01	8.76E+00	2.18E+01	9.50E+00	2.55E+01	5.01E+00	7.95E+00	1.24E+01	2.51E+01
Sample432	4.47E+01	9.40E+00	1.42E+01	1.23E+01	2.83E+01	1.53E+01	8.65E+00	1.78E+01	2.27E+01
Sample433	2.79E+01	2.85E+01	1.65E+01	2.81E+01	2.36E+01	1.79E+01	1.37E+01	9.87E+00	1.76E+01
Sample434	1.92E+01	5.94E+00	1.57E+01	8.40E+00	2.32E+01	5.35E+00	9.33E+00	8.70E+00	1.11E+01
Sample435	4.41E+01	2.52E+01	5.16E+01	2.32E+01	3.93E+01	1.37E+01	1.25E+01	3.76E+01	2.40E+01
Sample436	2.27E+01	9.22E+00	1.06E+01	1.26E+01	2.43E+01	1.12E+01	5.62E+00	1.38E+01	1.73E+01
Sample437	3.55E+01	1.51E+01	1.99E+01	9.24E+00	3.22E+01	1.09E+01	8.18E+00	1.49E+01	1.65E+01
Sample438	3.10E+01	6.11E+00	2.36E+01	1.85E+01	2.66E+01	1.25E+01	1.25E+01	2.18E+01	8.10E+00
Sample439	2.17E+01	2.42E+01	3.20E+01	1.41E+01	2.62E+01	1.91E+01	1.58E+01	2.21E+01	2.94E+01
Sample440	2.38E+01	1.19E+01	1.43E+01	1.35E+01	1.62E+01	2.49E+01	8.42E+00	3.30E+01	2.20E+01
Sample441	8.02E+00	4.67E+00	1.96E+01	1.21E+01	1.89E+01	9.18E+00	1.09E+01	2.64E+01	2.28E+01
Sample442	2.41E+01	1.39E+01	2.47E+01	1.33E+01	2.23E+01	1.20E+01	7.62E+00	1.36E+01	2.24E+01
Sample443	1.78E+01	1.08E+01	3.44E+01	1.33E+01	2.92E+01	1.68E+01	1.40E+01	2.80E+01	2.95E+01
Sample444	1.30E+01	5.71E+00	2.01E+01	1.25E+01	1.69E+01	3.68E+00	9.51E+00	1.82E+01	1.46E+01
Sample445	2.69E+01	7.93E+00	1.56E+01	9.91E+00	2.21E+01	8.15E+00	6.62E+00	1.72E+01	1.85E+01
Sample446	1.89E+01	2.99E+00	2.12E+01	1.13E+01	2.37E+01	6.50E+00	7.74E+00	1.90E+01	1.09E+01
Sample447	2.01E+01	1.87E+01	2.72E+01	7.36E+00	1.33E+01	1.11E+01	1.40E+01	1.98E+01	1.13E+01
Sample448	2.03E+01	1.53E+01	2.20E+01	6.59E+00	2.16E+01	9.74E+00	6.34E+00	1.57E+01	1.76E+01
Sample449	3.23E+01	1.56E+01	1.30E+01	9.83E+00	2.24E+01	2.84E+01	6.27E+00	4.20E+01	1.21E+01
Sample450	2.73E+01	1.01E+01	1.90E+01	1.70E+01	1.58E+01	7.77E+00	8.92E+00	2.31E+01	1.77E+01
Sample451	2.50E+01	4.39E+00	1.47E+01	1.24E+01	2.70E+01	1.36E+01	7.51E+00	1.75E+01	1.80E+01
Sample452	1.84E+01	3.69E+00	2.94E+01	2.74E+01	2.45E+01	2.26E+01	1.69E+01	1.66E+01	1.45E+01
Sample453	1.56E+01	6.92E+00	1.84E+01	9.10E+00	1.11E+01	5.14E+00	9.75E+00	2.01E+01	1.21E+01
Sample454	2.58E+01	3.30E+01	2.92E+01	1.56E+01	1.95E+01	6.39E+00	8.91E+00	2.48E+01	3.50E+00
Sample455	2.22E+01	1.37E+01	2.60E+01	1.32E+01	1.47E+01	3.46E+01	1.59E+01	3.11E+01	1.40E+01
Sample456	1.66E+01	6.01E+00	1.31E+01	9.49E+00	1.73E+01	8.26E+00	5.63E+00	1.23E+01	1.05E+01
Sample457	2.14E+01	5.18E+00	1.76E+01	1.47E+01	3.55E+01	1.62E+01	4.98E+00	9.48E+00	9.20E+00
Sample458	3.93E+01	5.32E+00	1.66E+01	1.03E+01	3.90E+01	6.22E+00	8.87E+00	1.12E+01	7.70E+00
Sample459	2.35E+01	9.94E+00	2.36E+01	1.15E+01	2.44E+01	1.06E+01	5.76E+00	3.71E+01	2.58E+01
Sample460	1.99E+01	5.49E+00	3.33E+01	3.05E+01	2.54E+01	2.74E+01	8.36E+00	5.89E+00	1.37E+01
Sample461	3.58E+01	1.05E+01	2.01E+01	1.42E+01	2.41E+01	1.33E+01	1.19E+01	1.34E+01	1.67E+01
Sample462	3.23E+01	4.87E+00	1.42E+01	9.93E+00	2.72E+01	1.07E+01	9.34E+00	1.17E+01	2.04E+01
Sample463	1.41E+01	1.32E+01	1.66E+01	1.59E+01	2.82E+01	2.02E+01	6.71E+00	3.71E+01	2.02E+01
Sample464	2.86E+01	6.60E+00	1.23E+01	5.85E+00	2.81E+01	8.09E+00	5.64E+00	1.64E+01	1.39E+01
Sample465	1.53E+01	1.18E+01	1.87E+01	1.08E+01	2.16E+01	9.14E+00	5.45E+00	8.91E+00	2.13E+01
Sample466	2.40E+01	1.55E+01	2.60E+01	9.57E+00	2.19E+01	1.00E+01	8.47E+00	1.76E+01	1.58E+01
Sample467	3.35E+01	1.57E+01	2.07E+01	1.19E+01	3.00E+01	1.66E+01	1.02E+01	3.37E+01	2.28E+01
Sample468	3.84E+01	3.29E+00	1.54E+01	1.27E+01	3.85E+01	1.36E+01	7.00E+00	1.70E+01	1.74E+01
Sample469	3.07E+01	3.34E+00	1.74E+01	7.41E+00	2.40E+01	1.22E+01	9.55E+00	9.28E+00	1.15E+01
Sample470	2.95E+01	4.02E+00	2.03E+01	6.52E+00	2.96E+01	8.97E+00	7.91E+00	1.80E+01	1.19E+01
Sample471	3.13E+01	1.29E+01	1.22E+01	8.86E+00	3.63E+01	2.06E+01	7.63E+00	2.80E+01	1.07E+01
Sample472	2.42E+01	1.73E+01	2.23E+01	2.04E+01	1.36E+01	1.56E+01	9.37E+00	1.68E+01	2.17E+01
Sample473	2.11E+01	1.25E+01	1.43E+01	1.21E+01	2.14E+01	7.05E+00	5.05E+00	1.69E+01	2.30E+01
Sample474	2.31E+01	1.49E+01	2.73E+01	1.14E+01	2.81E+01	1.53E+01	4.40E+00	1.77E+01	2.64E+01
Sample475	1.00E+01	1.53E+01	3.79E+01	2.12E+01	2.19E+01	1.43E+01	9.61E+00	3.90E+01	2.23E+01
Sample476	1.65E+01	1.38E+01	4.65E+01	2.67E+01	3.28E+01	1.11E+01	2.42E+01	2.32E+01	3.72E+01
Sample477	2.52E+01	6.01E+00	1.06E+01	4.86E+00	2.83E+01	6.12E+00	4.30E+00	9.32E+00	1.20E+01
Sample478	2.00E+01	8.59E+00	1.66E+01	1.24E+01	2.58E+01	8.37E+00	8.64E+00	1.88E+01	2.02E+01
Sample479	2.08E+01	6.86E+00	2.68E+01	1.48E+01	3.29E+01	1.39E+01	7.95E+00	3.19E+01	3.13E+01
Sample480	2.27E+01	1.33E+01	2.07E+01	6.80E+00	1.31E+01	2.36E+01	8.61E+00	1.76E+01	1.94E+01
Sample481	2.43E+01	6.01E+00	1.77E+01	8.13E+00	2.75E+01	1.08E+01	7.62E+00	1.74E+01	2.61E+01
Sample482	2.20E+01	6.23E+00	1.40E+01	1.08E+01	2.82E+01	3.80E+00	6.08E+00	7.94E+00	2.01E+01
Sample483	2.79E+01	1.19E+01	1.40E+01	7.76E+00	2.50E+01	1.26E+01	1.00E+01	2.41E+01	1.80E+01
Sample484	2.19E+01	7.90E+00	1.30E+01	1.38E+01	3.14E+01	7.93E+00	5.94E+00	1.40E+01	1.56E+01
Sample485	3.22E+01	8.69E+00	1.10E+01	7.79E+00	4.07E+01	9.71E+00	9.04E+00	1.75E+01	2.31E+01
Sample486	2.33E+01	7.08E+00	1.40E+01	6.75E+00	2.30E+01	1.90E+00	4.40E+00	1.12E+01	2.16E+01
Sample487	2.62E+01	1.15E+01	2.17E+01	9.56E+00	2.87E+01	2.08E+01	7.23E+00	2.47E+01	1.59E+01
Sample488	2.78E+01	8.65E+00	1.70E+01	8.95E+00	2.40E+01	5.86E+00	5.44E+00	1.18E+01	2.19E+01
Sample489	2.74E+01	6.35E+00	6.20E+00	9.75E+00	2.27E+01	5.16E+00	9.48E+00	6.64E+00	1.80E+01
Sample490	2.97E+01	4.25E+00	9.08E+00	1.22E+01	3.16E+01	9.52E+00	1.01E+01	1.45E+01	9.87E+00
Sample491	1.60E+01	1.04E+01	2.07E+01	7.58E+00	1.54E+01	2.91E+01	7.53E+00	3.31E+01	2.17E+01
Sample492	2.21E+01	1.86E+01	2.64E+01	1.23E+01	7.18E+00	1.14E+01	1.17E+01	1.07E+01	6.54E+00
Sample493	3.53E+01	1.67E+01	1.73E+01	1.33E+01	3.18E+01	1.13E+01	7.70E+00	1.44E+01	1.36E+01
Sample494	2.34E+01	8.87E+00	1.83E+01	1.48E+01	1.73E+01	2.94E+01	1.08E+01	2.82E+01	2.52E+01
Sample495	1.83E+01	7.49E+00	1.24E+01	1.05E+01	3.02E+01	9.80E+00	1.04E+01	1.32E+01	9.20E+00
Sample496	2.49E+01	1.03E+01	1.70E+01	1.84E+01	1.09E+01	2.04E+01	7.28E+00	1.53E+01	2.56E+01
Sample497	1.51E+01	1.70E+01	2.44E+01	1.05E+01	2.74E+01	0.00E+00	1.82E+01	9.83E+00	2.59E+01
Sample498	1.17E+01	1.15E+01	2.13E+01	1.16E+01	1.45E+01	2.06E+01	7.79E+00	2.34E+01	2.16E+01
Sample499	1.73E+01	7.48E+00	1.18E+01	6.30E+00	1.78E+01	1.29E+01	9.25E+00	1.03E+01	9.38E+00
Sample500	1.90E+01	6.11E+00	2.56E+01	9.93E+00	8.25E+00	1.62E+01	1.08E+01	1.36E+01	1.39E+01
Sample501	7.47E+00	8.68E+00	1.19E+01	5.13E+00	9.64E+00	1.73E+01	2.14E+01	1.50E+01	1.36E+01
Sample502	2.83E+01	6.61E+00	1.97E+01	5.79E+00	3.95E+01	1.16E+01	7.76E+00	2.15E+01	1.70E+01
Sample503	2.60E+01	1.05E+01	1.65E+01	6.89E+00	2.78E+01	1.39E+01	8.03E+00	1.68E+01	1.71E+01
Sample504	3.22E+01	1.06E+01	1.61E+01	8.81E+00	3.68E+01	8.02E+00	7.66E+00	1.42E+01	1.24E+01
Sample505	2.18E+01	6.70E+00	2.43E+01	7.40E+00	2.57E+01	7.80E+00	1.07E+01	1.15E+01	2.62E+01
Sample506	1.11E+01	1.10E+01	1.84E+01	1.01E+01	2.48E+01	9.26E+00	7.03E+00	1.31E+01	2.50E+01
Sample507	3.42E+01	6.24E+00	1.76E+01	9.53E+00	2.99E+01	5.29E+00	1.21E+01	1.36E+01	1.54E+01
Sample508	2.09E+01	7.94E+00	1.32E+01	7.08E+00	1.51E+01	8.15E+00	1.09E+01	1.82E+01	2.12E+01
Sample509	1.38E+01	8.68E+00	1.52E+01	1.32E+01	1.93E+01	1.45E+01	1.09E+01	1.84E+01	1.80E+01
Sample510	2.25E+01	8.82E+00	2.66E+01	1.83E+01	2.40E+01	1.03E+01	8.61E+00	2.09E+01	2.43E+01
Sample511	2.07E+01	1.11E+01	2.32E+01	6.91E+00	2.50E+01	2.24E+01	6.37E+00	1.61E+01	1.36E+01
Sample512	2.38E+01	1.52E+01	1.46E+01	1.06E+01	1.73E+01	1.22E+01	1.22E+01	2.10E+01	2.17E+01
Sample513	2.90E+01	5.77E+00	1.94E+01	1.27E+01	2.71E+01	5.63E+00	7.08E+00	1.55E+01	2.15E+01
Sample514	2.66E+01	1.08E+01	3.98E+01	2.41E+01	2.17E+01	2.24E+01	1.17E+01	2.49E+01	1.66E+01
Sample515	2.02E+01	1.44E+01	1.61E+01	1.10E+01	2.35E+01	1.03E+01	9.59E+00	8.64E+00	1.87E+01
Sample516	1.41E+01	1.15E+01	1.64E+01	2.63E+01	1.48E+01	1.98E+01	1.05E+01	1.35E+01	1.60E+01
Sample517	2.67E+01	6.65E+00	2.22E+01	7.05E+00	2.83E+01	1.11E+01	7.17E+00	1.68E+01	1.29E+01
Sample518	3.77E+01	3.68E+00	5.71E+00	9.42E+00	2.76E+01	1.06E+01	9.75E+00	8.98E+00	1.05E+01
Sample519	2.11E+01	4.91E+00	1.63E+01	1.00E+01	2.22E+01	5.19E+00	9.40E+00	8.42E+00	1.61E+01
Sample520	2.33E+01	6.74E+00	1.56E+01	6.89E+00	2.32E+01	8.64E+00	9.45E+00	1.57E+01	1.40E+01
Sample521	2.67E+01	1.68E+01	2.36E+01	1.55E+01	2.21E+01	1.47E+01	1.07E+01	3.30E+01	2.12E+01
Sample522	2.78E+01	5.09E+00	1.89E+01	1.97E+01	2.05E+01	1.05E+01	6.33E+00	2.35E+01	9.89E+00
Sample523	2.08E+01	1.36E+01	2.03E+01	1.50E+01	2.89E+01	2.59E+01	1.03E+01	3.32E+01	1.50E+01
Sample524	2.12E+01	6.23E+00	1.57E+01	9.79E+00	2.29E+01	4.99E+00	2.52E+00	1.09E+01	1.79E+01
Sample525	1.82E+01	7.96E+00	2.99E+01	1.73E+01	1.86E+01	2.52E+01	8.42E+00	2.06E+01	1.80E+01
Sample526	3.85E+01	9.57E+00	2.05E+01	1.21E+01	3.52E+01	5.95E+00	9.48E+00	1.39E+01	1.82E+01
Sample527	2.17E+01	7.38E+00	2.99E+01	2.66E+01	2.90E+01	2.52E+01	1.03E+01	1.70E+01	1.19E+01
Sample528	1.97E+01	1.14E+01	3.40E+01	1.65E+01	1.82E+01	6.23E+00	7.00E+00	1.93E+01	2.84E+01
Sample529	3.19E+01	6.77E+00	1.34E+01	6.26E+00	2.45E+01	7.96E+00	7.08E+00	1.60E+01	1.51E+01
Sample530	2.24E+01	1.73E+01	1.39E+01	1.13E+01	2.26E+01	1.30E+01	1.74E+01	1.17E+01	2.95E+01
Sample531	2.55E+01	6.00E+00	1.95E+01	9.91E+00	2.30E+01	1.10E+01	1.21E+01	9.34E+00	1.62E+01
Sample532	1.90E+01	7.81E+00	2.92E+01	2.73E+01	2.31E+01	2.48E+01	7.78E+00	1.64E+01	1.29E+01
Sample533	1.74E+01	8.93E+00	1.26E+01	1.36E+01	2.29E+01	1.28E+01	1.13E+01	1.68E+01	1.89E+01
Sample534	1.31E+01	1.12E+01	1.49E+01	1.07E+01	1.46E+01	2.95E+01	8.72E+00	2.25E+01	1.39E+01
Sample535	1.95E+01	1.07E+01	2.94E+01	1.14E+01	3.63E+01	6.64E+00	7.31E+00	1.96E+01	1.87E+01
Sample536	2.79E+01	8.62E+00	1.58E+01	9.24E+00	2.51E+01	1.65E+01	3.91E+00	1.91E+01	2.60E+01
Sample537	2.90E+01	1.40E+01	1.96E+01	6.03E+00	2.99E+01	1.04E+01	7.14E+00	1.73E+01	1.83E+01
Sample538	2.89E+01	7.65E+00	1.98E+01	7.01E+00	1.71E+01	1.19E+01	8.91E+00	1.28E+01	1.67E+01
Sample539	2.06E+01	1.61E+01	2.78E+01	1.72E+01	2.99E+01	1.42E+01	1.39E+01	2.13E+01	3.54E+01
Sample540	2.27E+01	7.64E+00	3.00E+01	2.23E+01	2.34E+01	2.87E+01	1.48E+01	1.10E+01	1.88E+01
Sample541	3.06E+01	1.18E+01	1.56E+01	9.46E+00	3.17E+01	7.90E+00	7.27E+00	1.56E+01	1.49E+01
Sample542	1.83E+01	1.34E+01	2.06E+01	6.33E+00	1.05E+01	2.62E+01	1.18E+01	3.24E+01	1.16E+01
Sample543	2.29E+01	6.48E+00	1.53E+01	5.44E+00	3.26E+01	9.20E+00	9.38E+00	1.14E+01	1.86E+01
Sample544	2.60E+01	6.93E+00	1.54E+01	1.85E+01	2.46E+01	4.94E+00	8.02E+00	2.09E+01	2.01E+01
Sample545	2.18E+01	3.91E+00	2.35E+01	2.31E+01	3.74E+01	2.58E+01	7.15E+00	1.64E+01	8.31E+00
Sample546	2.39E+01	1.55E+01	1.73E+01	1.74E+01	1.07E+01	2.79E+01	1.07E+01	2.12E+01	2.47E+01
Sample547	1.97E+01	9.36E+00	2.45E+01	1.68E+01	2.51E+01	1.15E+01	1.18E+01	1.73E+01	2.01E+01
Sample548	1.64E+01	2.73E+01	4.30E+01	2.42E+01	2.73E+01	1.78E+01	1.82E+01	3.52E+01	2.42E+01
Sample549	7.96E+00	2.17E+01	1.71E+01	1.42E+01	3.09E+01	7.70E+00	1.69E+01	1.28E+01	2.73E+01
Sample550	2.52E+01	8.15E+00	1.61E+01	7.21E+00	3.24E+01	7.58E+00	1.16E+01	1.65E+01	2.58E+01
Sample551	1.92E+01	1.12E+01	1.25E+01	8.43E+00	2.25E+01	7.64E+00	1.34E+01	1.32E+01	1.11E+01
Sample552	2.44E+01	6.10E+00	1.53E+01	7.84E+00	2.91E+01	5.45E+00	6.74E+00	1.13E+01	1.78E+01
Sample553	2.92E+01	7.31E+00	1.39E+01	7.86E+00	2.36E+01	7.85E+00	7.22E+00	7.68E+00	1.91E+01
Sample554	1.85E+01	9.73E+00	1.88E+01	8.61E+00	1.47E+01	1.11E+01	6.51E+00	1.06E+01	1.00E+01
Sample555	2.17E+01	1.58E+01	2.64E+01	6.95E+00	2.40E+01	2.29E+01	1.13E+01	2.35E+01	1.98E+01
Sample556	2.60E+01	4.54E+00	1.29E+01	7.04E+00	3.93E+01	1.02E+01	5.37E+00	1.48E+01	1.67E+01
Sample557	1.88E+01	7.05E+00	1.69E+01	1.08E+01	2.75E+01	1.20E+01	7.56E+00	1.13E+01	2.54E+01
Sample558	2.31E+01	1.26E+01	1.17E+01	5.98E+00	2.39E+01	7.74E+00	1.23E+01	1.32E+01	6.96E+00
Sample559	2.12E+01	9.34E+00	2.34E+01	6.45E+00	1.39E+01	1.96E+01	6.26E+00	1.87E+01	7.38E+00
Sample560	2.73E+01	9.62E+00	2.37E+01	1.73E+01	3.32E+01	1.02E+01	1.64E+01	1.91E+01	2.10E+01
Sample561	2.00E+01	3.63E+01	1.77E+01	2.57E+01	1.98E+01	1.86E+01	1.82E+01	5.46E+00	1.46E+01
Sample562	3.50E+01	7.58E+00	1.45E+01	1.13E+01	3.49E+01	9.09E+00	8.12E+00	1.37E+01	1.86E+01
Sample563	2.17E+01	1.63E+01	1.87E+01	1.40E+01	2.12E+01	1.90E+01	5.47E+00	2.70E+01	1.82E+01
Sample564	4.24E+01	4.97E+00	1.66E+01	9.86E+00	3.75E+01	6.02E+00	5.90E+00	8.17E+00	1.02E+01
Sample565	1.70E+01	7.44E+00	1.68E+01	1.03E+01	1.81E+01	6.57E+00	6.59E+00	1.64E+01	1.78E+01
Sample566	1.74E+01	7.09E+00	1.28E+01	7.86E+00	2.39E+01	1.05E+01	7.54E+00	1.08E+01	2.00E+01
Sample567	2.68E+01	7.75E+00	8.84E+00	1.50E+01	1.61E+01	7.22E+00	6.81E+00	1.29E+01	1.00E+01
Sample568	9.41E+00	9.40E+00	2.01E+01	1.11E+01	2.31E+01	1.10E+01	1.09E+01	2.15E+01	1.47E+01
Sample569	1.95E+01	8.47E+00	1.76E+01	1.06E+01	1.52E+01	2.45E+01	1.07E+01	2.17E+01	2.98E+01
Sample570	2.07E+01	9.37E+00	1.72E+01	8.30E+00	2.21E+01	8.67E+00	9.79E+00	1.45E+01	1.52E+01
Sample571	2.48E+01	9.40E+00	2.02E+01	9.71E+00	3.76E+01	9.36E+00	1.11E+01	1.39E+01	2.60E+01
Sample572	1.91E+01	8.74E+00	2.51E+01	1.44E+01	2.15E+01	1.16E+01	9.76E+00	1.27E+01	1.08E+01
Sample573	2.27E+01	9.70E+00	3.67E+01	1.68E+01	2.63E+01	1.89E+01	1.43E+01	2.22E+01	2.53E+01
Sample574	2.38E+01	6.28E+00	1.24E+01	1.21E+01	2.40E+01	7.17E+00	8.82E+00	1.88E+01	2.09E+01
Sample575	1.41E+01	6.60E+00	2.74E+01	2.95E+01	2.47E+01	3.27E+01	1.10E+01	1.85E+01	1.40E+01
Sample576	2.52E+01	2.66E+01	1.62E+01	2.99E+01	2.69E+01	1.82E+01	1.78E+01	1.06E+01	1.77E+01
Sample577	1.09E+01	8.49E+00	1.95E+01	9.29E+00	1.91E+01	1.07E+01	9.56E+00	1.74E+01	1.32E+01
Sample578	1.43E+01	8.38E+00	2.45E+01	1.05E+01	2.08E+01	9.30E+00	7.34E+00	2.76E+01	1.19E+01
Sample579	1.69E+01	1.39E+01	2.69E+01	1.58E+01	3.01E+01	2.24E+01	8.15E+00	1.31E+01	1.14E+01
Sample580	2.05E+01	7.32E+00	1.16E+01	1.16E+01	2.42E+01	6.72E+00	9.77E+00	3.17E+01	1.05E+01
Sample581	2.43E+01	1.05E+01	1.73E+01	1.21E+01	2.18E+01	7.95E+00	9.27E+00	8.27E+00	1.27E+01
Sample582	1.00E+01	7.70E+00	1.82E+01	2.64E+01	1.25E+01	2.22E+01	7.03E+00	1.79E+01	1.31E+01
Sample583	1.95E+01	1.15E+01	1.38E+01	1.20E+01	2.36E+01	1.14E+01	1.07E+01	1.33E+01	1.61E+01
Sample584	2.33E+01	1.59E+01	2.98E+01	1.71E+01	2.57E+01	2.38E+01	8.99E+00	2.44E+01	1.62E+01
Sample585	2.08E+01	2.23E+01	2.07E+01	2.20E+01	2.56E+01	1.75E+01	1.81E+01	1.02E+01	2.75E+01
Sample586	3.23E+01	4.60E+00	1.08E+01	9.35E+00	2.55E+01	1.11E+01	4.21E+00	1.50E+01	1.44E+01
Sample587	2.76E+01	1.90E+01	2.33E+01	1.89E+01	1.81E+01	8.84E+00	9.19E+00	2.28E+01	1.34E+01
Sample588	2.20E+01	8.81E+00	1.47E+01	1.24E+01	3.28E+01	3.99E+00	6.81E+00	1.40E+01	1.66E+01
Sample589	3.29E+01	1.56E+01	2.19E+01	1.23E+01	2.43E+01	2.28E+01	9.79E+00	3.42E+01	1.40E+01
Sample590	2.32E+01	1.16E+01	1.91E+01	6.04E+00	1.96E+01	2.08E+01	6.01E+00	3.01E+01	1.87E+01
Sample591	2.60E+01	7.47E+00	1.79E+01	8.81E+00	3.07E+01	1.08E+01	7.61E+00	1.07E+01	1.77E+01
Sample592	1.53E+01	1.09E+01	1.11E+01	1.26E+01	2.46E+01	2.30E+01	9.35E+00	3.08E+01	2.66E+01
Sample593	2.07E+01	6.37E+00	1.74E+01	9.34E+00	1.50E+01	1.93E+01	1.03E+01	2.78E+01	1.75E+01
Sample594	1.75E+01	7.19E+00	3.21E+01	1.49E+01	3.40E+01	1.00E+01	1.72E+01	2.43E+01	1.55E+01
Sample595	2.01E+01	9.32E+00	1.17E+01	9.74E+00	1.47E+01	7.93E+00	4.65E+00	1.95E+01	1.43E+01
Sample596	1.60E+01	1.41E+01	3.07E+01	1.21E+01	2.54E+01	1.83E+01	9.38E+00	2.10E+01	9.90E+00
Sample597	3.38E+01	1.60E+01	3.43E+01	1.28E+01	7.89E+00	7.06E+00	1.37E+01	2.15E+01	1.49E+01
Sample598	2.56E+01	6.87E+00	1.55E+01	1.25E+01	2.61E+01	1.51E+01	1.33E+01	2.23E+01	1.88E+01
Sample599	2.38E+01	5.53E+00	1.42E+01	8.25E+00	1.91E+01	1.07E+01	4.14E+00	9.20E+00	1.94E+01
Sample600	1.03E+01	6.57E+00	2.72E+01	2.78E+01	1.71E+01	2.40E+01	1.25E+01	1.86E+01	1.76E+01
Sample601	2.78E+01	1.28E+01	1.50E+01	1.43E+01	2.95E+01	6.55E+00	7.71E+00	2.51E+01	1.40E+01
Sample602	1.72E+01	4.72E+00	1.66E+01	1.32E+01	1.88E+01	1.22E+01	1.03E+01	7.48E+00	2.30E+01
Sample603	2.14E+01	1.26E+01	1.70E+01	1.64E+01	3.47E+01	1.11E+01	9.43E+00	2.25E+01	2.53E+01
Sample604	3.52E+01	8.95E+00	1.93E+01	8.56E+00	2.51E+01	7.47E+00	7.57E+00	1.68E+01	8.87E+00
Sample605	2.50E+01	7.76E+00	2.10E+01	7.31E+00	2.82E+01	1.17E+01	1.01E+01	1.79E+01	1.83E+01
Sample606	1.52E+01	7.58E+00	1.30E+01	1.26E+01	2.72E+01	1.37E+01	9.16E+00	1.95E+01	2.81E+01
Sample607	1.82E+01	8.59E+00	1.62E+01	7.52E+00	1.79E+01	8.25E+00	8.49E+00	1.68E+01	1.92E+01
Sample608	2.69E+01	6.14E+00	9.05E+00	8.72E+00	2.49E+01	1.16E+01	9.44E+00	9.20E+00	1.67E+01
Sample609	2.89E+01	8.45E+00	1.69E+01	1.27E+01	2.31E+01	1.35E+01	8.70E+00	1.53E+01	1.07E+01
Sample610	2.49E+01	2.38E+01	3.77E+01	9.52E+00	1.84E+01	1.04E+01	5.57E+00	1.86E+01	1.78E+01
