Samples	Signature A	Signature B	Signature C	Signature D
Sample312	720	0	0	268
Sample313	410	0	562	0
Sample314	612	0	0	405
Sample315	764	236	0	0
Sample316	784	216	0	0
Sample317	705	309	0	0
Sample318	0	0	659	321
Sample319	846	0	0	154
Sample320	411	275	0	331
Sample321	859	0	0	121
Sample322	253	731	0	0
Sample323	801	207	0	0
Sample324	298	679	0	0
Sample325	863	0	0	137
Sample326	722	296	0	0
Sample327	619	0	236	145
Sample328	0	802	186	0
Sample329	0	735	293	0
Sample330	716	0	269	0
Sample331	0	757	0	216
Sample332	441	244	0	323
Sample333	356	629	0	0
Sample334	778	208	0	0
Sample335	0	797	0	217
Sample336	408	287	0	324
Sample337	710	305	0	0
Sample338	0	0	700	284
Sample339	743	271	0	0
Sample340	865	0	0	143
Sample341	614	0	236	186
Sample342	370	353	0	267
Sample343	752	275	0	0
Sample344	776	224	0	0
Sample345	340	635	0	0
Sample346	238	746	0	0
Sample347	683	296	0	0
Sample348	375	638	0	0
Sample349	414	328	0	230
Sample350	851	0	0	128
Sample351	733	253	0	0
Sample352	613	0	0	405
Sample353	0	0	693	299
Sample354	279	702	0	0
Sample355	551	275	0	142
Sample356	859	0	0	131
Sample357	876	0	0	139
Sample358	654	0	0	347
Sample359	464	572	0	0
Sample360	1015	0	0	0
Sample361	754	0	254	0
Sample362	775	217	0	0
Sample363	727	292	0	0
Sample364	460	523	0	0
Sample365	763	252	0	0
Sample366	852	0	0	165
Sample367	394	634	0	0
Sample368	762	230	0	0
Sample369	989	0	0	0
Sample370	778	208	0	0
Sample371	843	0	0	157
Sample372	878	0	0	130
Sample373	383	356	277	0
Sample374	767	233	0	0
Sample375	423	288	0	309
Sample376	0	793	191	0
Sample377	476	351	0	196
Sample378	377	591	0	0
Sample379	768	246	0	0
Sample380	0	585	229	202
Sample381	755	245	0	0
Sample382	331	501	0	185
Sample383	850	0	0	172
Sample384	706	322	0	0
Sample385	652	195	0	181
Sample386	319	463	252	0
Sample387	784	235	0	0
Sample388	714	294	0	0
Sample389	802	217	0	0
Sample390	575	401	0	0
Sample391	213	752	0	0
Sample392	992	0	0	0
Sample393	190	0	432	377
Sample394	477	0	487	0
Sample395	479	502	0	0
Sample396	743	265	0	0
Sample397	860	0	0	119
Sample398	669	0	232	125
Sample399	724	244	0	0
Sample400	396	639	0	0
Sample401	410	0	562	0
Sample402	746	240	0	0
Sample403	985	0	0	0
Sample404	764	249	0	0
Sample405	801	207	0	0
Sample406	351	637	0	0
Sample407	352	301	309	0
Sample408	517	469	0	0
Sample409	0	674	308	0
Sample410	854	0	0	138
Sample411	366	368	286	0
Sample412	701	284	0	0
Sample413	386	595	0	0
Sample414	342	686	0	0
Sample415	570	412	0	0
Sample416	436	0	583	0
Sample417	542	247	0	191
