Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H
Sample89	2.35E+00	5.12E+00	4.63E+00	5.32E+00	5.45E+00	2.50E-01	0.00E+00	1.96E+00
Sample90	7.43E-01	5.02E+00	3.77E+00	4.30E+00	6.04E+00	0.00E+00	2.34E+00	2.23E+00
Sample91	3.28E+00	1.95E+00	4.48E+00	2.67E+00	4.55E+00	4.36E+00	0.00E+00	9.44E-01
Sample92	2.72E+00	4.19E+00	3.02E+00	1.86E+00	4.31E+00	1.72E+00	5.00E-01	1.19E+00
Sample93	5.09E+00	3.26E+00	3.62E+00	2.10E+00	3.68E+00	1.66E+00	0.00E+00	9.44E-01
Sample94	4.76E+00	4.12E+00	5.40E+00	3.12E+00	4.33E+00	8.75E-01	3.08E+00	2.94E+00
Sample95	1.37E+00	4.95E+00	4.39E+00	2.88E+00	3.79E+00	5.00E-01	8.40E-01	3.88E+00
Sample96	1.49E+00	5.26E+00	3.79E+00	2.60E+00	5.67E+00	1.11E+00	1.16E+00	6.90E+00
Sample97	3.27E+00	6.59E+00	6.40E+00	1.01E+00	4.44E+00	1.16E+00	6.81E-01	2.31E+00
Sample98	2.10E+00	3.23E+00	5.85E+00	4.09E+00	5.70E+00	4.96E+00	1.90E+00	1.58E+00
Sample99	4.07E+00	3.47E+00	4.81E+00	5.11E+00	3.98E+00	5.93E+00	0.00E+00	1.24E+00
Sample100	2.23E+00	4.52E+00	3.82E+00	3.99E+00	4.87E+00	3.75E-01	1.37E+00	3.38E+00
