Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1637	61608	1.0	1431.48	2.324%	234.865	2.015%	0.0007
Sample1638	61634	1.0	1430.161	2.32%	234.687	2.013%	0.0007
Sample1639	61662	1.0	1428.585	2.317%	234.498	2.01%	0.0007
Sample1640	61689	1.0	1428.367	2.315%	234.507	2.009%	0.0007
Sample1641	61719	1.0	1426.992	2.312%	234.625	2.009%	0.0007
Sample1642	61758	1.0	1433.24	2.321%	234.797	2.009%	0.0007
Sample1643	61789	1.0	1431.191	2.316%	234.4	2.005%	0.0007
Sample1644	61825	1.0	1436.308	2.323%	235.07	2.009%	0.0007
Sample1645	61848	1.0	1430.093	2.312%	233.924	1.998%	0.0007
Sample1646	61881	1.0	1426.155	2.305%	233.164	1.991%	0.0007
Sample1647	61955	1.0	1444.349	2.331%	234.615	2.001%	0.0007
Sample1648	61996	1.0	1443.803	2.329%	234.605	2.0%	0.0007
Sample1649	62031	1.0	1442.003	2.325%	234.493	1.998%	0.0007
Sample1650	62072	1.0	1445.595	2.329%	235.84	2.008%	0.0008
Sample1651	62118	1.0	1447.687	2.331%	236.368	2.01%	0.0008
Sample1652	62191	1.0	1464.486	2.355%	238.753	2.029%	0.0008
Sample1653	62232	1.0	1469.906	2.362%	239.632	2.035%	0.0008
Sample1654	62264	1.0	1466.095	2.355%	239.034	2.028%	0.0008
Sample1655	62304	1.0	1461.757	2.346%	238.134	2.019%	0.0008
Sample1656	62327	1.0	1455.34	2.335%	237.071	2.01%	0.0008
Sample1657	62356	1.0	1452.889	2.33%	236.867	2.007%	0.0008
Sample1658	62392	1.0	1449.052	2.322%	235.992	1.998%	0.0007
Sample1659	62417	1.0	1450.777	2.324%	236.104	1.998%	0.0007
Sample1660	62445	1.0	1447.236	2.318%	235.524	1.992%	0.0007
Sample1661	62478	1.0	1441.147	2.307%	233.826	1.977%	0.0007
