Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G	Signature H	Signature I
Sample69	1.53E+00	0.00E+00	5.33E+00	6.20E+00	1.80E+00	5.62E+00	1.74E+00	0.00E+00	1.06E+01
Sample70	3.60E+00	4.80E+00	4.18E+00	5.60E+00	5.00E+00	4.82E+00	1.80E+00	3.13E+00	7.39E+00
Sample71	7.40E+00	1.60E+00	0.00E+00	9.70E-01	5.89E+00	8.66E+00	3.56E+00	0.00E+00	6.14E+00
Sample72	3.79E+00	0.00E+00	5.55E+00	7.40E+00	6.01E+00	3.77E+00	1.20E+00	2.80E+00	2.58E+00
Sample73	5.83E+00	1.80E+00	1.14E+00	1.74E+00	7.73E+00	5.02E+00	0.00E+00	1.98E+00	2.10E+00
Sample74	3.11E+00	0.00E+00	3.01E+00	4.08E+00	6.80E+00	0.00E+00	0.00E+00	0.00E+00	3.12E+00
Sample75	2.22E+00	0.00E+00	3.87E+00	7.24E+00	2.29E+00	3.63E+00	2.32E+00	1.80E+00	5.15E+00
Sample76	6.40E+00	1.20E+00	2.00E-01	6.91E+00	3.50E+00	6.13E+00	4.65E+00	0.00E+00	3.80E+00
Sample77	3.20E+00	1.12E+01	4.53E+00	0.00E+00	2.96E+00	3.62E+00	5.83E+00	1.07E+01	2.40E+00
Sample78	3.00E+00	2.93E+00	4.82E+00	1.24E+00	6.05E+00	3.20E+00	0.00E+00	7.44E+00	4.15E+00
Sample79	0.00E+00	8.72E-01	2.80E+00	0.00E+00	2.33E+00	2.60E+00	1.83E+00	2.07E+00	2.00E-01
Sample80	2.33E+00	0.00E+00	6.00E-01	0.00E+00	0.00E+00	2.16E+00	2.31E+00	0.00E+00	0.00E+00
Sample81	2.14E+00	0.00E+00	2.07E+00	6.19E+00	1.17E+00	2.38E+00	3.17E+00	0.00E+00	8.61E+00
Sample82	3.22E+00	2.36E+00	4.07E+00	2.94E+00	2.52E+00	6.69E+00	1.11E+00	0.00E+00	5.85E+00
Sample83	1.17E+00	0.00E+00	5.24E+00	1.00E+00	7.93E+00	1.00E+00	1.00E+00	9.99E+00	1.20E+00
Sample84	3.08E+00	0.00E+00	7.76E+00	2.13E+00	3.31E+00	3.75E+00	1.60E+00	7.12E+00	2.60E+00
Sample85	2.58E+00	6.00E-01	4.78E+00	0.00E+00	1.38E+00	3.99E+00	0.00E+00	8.38E+00	5.00E+00
Sample86	4.00E-01	0.00E+00	2.50E+00	0.00E+00	1.22E+00	2.20E+00	2.63E+00	3.85E+00	2.87E+00
Sample87	5.04E+00	0.00E+00	5.83E-01	3.94E+00	3.72E+00	1.74E+00	2.98E+00	0.00E+00	3.34E+00
Sample88	3.49E+00	3.10E+00	1.26E+00	7.74E+00	8.00E+00	4.11E+00	2.33E+00	2.13E+00	3.88E+00
Sample89	4.31E+00	0.00E+00	2.73E+00	2.72E+00	3.11E+00	4.59E+00	7.75E-01	3.09E+00	7.34E+00
Sample90	1.63E+00	0.00E+00	2.60E+00	7.87E+00	6.10E+00	6.38E+00	2.00E-01	0.00E+00	2.84E+00
Sample91	5.26E+00	8.00E-01	5.23E+00	7.68E+00	4.04E+00	2.00E-01	0.00E+00	3.63E+00	6.13E+00
Sample92	5.18E+00	8.00E-01	5.84E+00	2.58E+00	2.32E+00	4.43E+00	2.80E+00	0.00E+00	6.25E+00
Sample93	1.40E+00	1.78E+00	6.42E+00	6.74E+00	9.27E-01	6.58E+00	2.20E+00	1.50E+00	7.74E+00
Sample94	5.84E+00	0.00E+00	6.16E+00	4.03E+00	4.72E+00	3.71E+00	3.42E+00	0.00E+00	4.02E+00
Sample95	4.91E+00	0.00E+00	3.84E+00	3.91E+00	1.60E+00	3.52E+00	3.04E+00	0.00E+00	5.47E+00
Sample96	6.99E+00	0.00E+00	2.40E+00	8.38E+00	2.22E+00	2.65E+00	1.75E+00	0.00E+00	0.00E+00
Sample97	6.74E+00	0.00E+00	6.41E+00	5.90E+00	2.53E+00	7.62E+00	1.03E+00	0.00E+00	3.37E+00
Sample98	4.28E+00	5.26E+00	2.80E+00	2.22E+00	4.15E+00	3.81E+00	2.14E+00	3.64E+00	5.78E+00
Sample99	2.51E+00	5.96E+00	4.31E+00	2.60E+00	2.40E+00	1.02E+01	0.00E+00	5.63E+00	4.61E+00
Sample100	9.15E+00	1.25E+00	3.87E+00	3.20E+00	5.76E+00	4.15E+00	0.00E+00	0.00E+00	6.05E+00
