Iteration	L1	L1 %	L2	L2 %	KL Divergence
292	2.469	18.57	0.461	22.636	0.031
293	2.491	18.791	0.455	22.439	0.032
294	2.497	18.855	0.464	22.897	0.032
295	2.551	19.197	0.472	22.96	0.033
296	2.483	18.704	0.446	22.021	0.031
297	2.522	18.998	0.461	22.641	0.033
298	2.481	18.725	0.46	22.62	0.032
299	2.467	18.561	0.458	22.417	0.031
300	2.496	18.806	0.472	23.079	0.032
301	2.531	19.039	0.476	23.199	0.033
302	2.491	18.8	0.46	22.778	0.033
303	2.404	18.093	0.444	22.093	0.03
304	2.473	18.602	0.455	22.298	0.032
305	2.527	19.035	0.463	22.782	0.033
306	2.537	19.12	0.462	22.71	0.033
307	2.404	18.146	0.438	21.887	0.03
308	2.448	18.432	0.447	22.085	0.031
309	2.522	19.003	0.466	22.751	0.032
310	2.397	18.07	0.443	21.937	0.03
311	2.448	18.455	0.45	22.091	0.031
312	2.477	18.636	0.463	22.612	0.031
313	2.516	19.007	0.454	22.392	0.033
314	2.449	18.454	0.464	22.592	0.031
315	2.442	18.431	0.451	22.305	0.031
316	2.504	18.918	0.457	22.619	0.032
317	2.448	18.438	0.452	22.209	0.031
318	2.431	18.312	0.451	22.337	0.031
319	2.452	18.468	0.449	22.256	0.03
320	2.541	19.157	0.471	22.898	0.033
321	2.458	18.511	0.454	22.421	0.031
322	2.533	19.088	0.466	22.769	0.032
323	2.435	18.352	0.456	22.518	0.032
324	2.488	18.756	0.463	22.774	0.032
325	2.5	18.857	0.462	22.707	0.032
326	2.474	18.626	0.451	22.363	0.032
327	2.428	18.3	0.448	21.974	0.03
328	2.429	18.306	0.443	21.936	0.031
329	2.478	18.71	0.457	22.692	0.033
330	2.492	18.75	0.465	22.723	0.032
331	2.444	18.431	0.443	22.024	0.031
332	2.401	18.105	0.451	22.312	0.03
333	2.429	18.281	0.451	22.038	0.03
334	2.464	18.563	0.47	22.883	0.032
335	2.453	18.492	0.457	22.358	0.031
336	2.377	17.917	0.442	22.052	0.03
337	2.434	18.342	0.45	22.19	0.03
338	2.478	18.671	0.462	22.572	0.032
339	2.528	19.027	0.46	22.67	0.032
340	2.481	18.695	0.456	22.461	0.032
341	2.45	18.475	0.454	22.378	0.032
342	2.442	18.421	0.449	22.302	0.031
343	2.479	18.661	0.457	22.428	0.031
344	2.464	18.576	0.446	21.96	0.03
345	2.455	18.522	0.451	22.386	0.032
346	2.47	18.614	0.455	22.359	0.03
347	2.467	18.56	0.457	22.546	0.031
348	2.444	18.377	0.447	22.166	0.031
349	2.513	18.899	0.462	22.818	0.032
350	2.455	18.52	0.45	22.404	0.031
351	2.516	18.972	0.472	23.114	0.033
352	2.419	18.254	0.443	22.055	0.032
353	2.45	18.446	0.454	22.31	0.031
354	2.501	18.867	0.449	22.319	0.032
355	2.547	19.193	0.471	23.173	0.033
356	2.386	17.97	0.443	22.057	0.03
357	2.473	18.628	0.448	22.025	0.031
358	2.511	18.92	0.468	23.018	0.032
359	2.44	18.384	0.457	22.725	0.031
360	2.513	18.936	0.464	22.686	0.032
361	2.418	18.155	0.444	21.819	0.03
362	2.495	18.82	0.464	22.788	0.032
363	2.48	18.669	0.454	22.245	0.032
364	2.484	18.712	0.459	22.588	0.032
365	2.446	18.437	0.452	22.313	0.03
366	2.407	18.174	0.437	21.672	0.03
367	2.423	18.261	0.452	22.295	0.031
368	2.514	18.935	0.463	22.711	0.032
369	2.491	18.776	0.457	22.61	0.033
370	2.511	18.929	0.458	22.617	0.032
371	2.624	19.792	0.476	23.322	0.034
372	2.41	18.158	0.451	22.083	0.03
373	2.442	18.369	0.455	22.444	0.031
374	2.472	18.64	0.456	22.531	0.032
375	2.516	18.97	0.465	23.03	0.033
376	2.383	17.903	0.446	21.961	0.03
377	2.501	18.831	0.464	22.734	0.032
378	2.418	18.251	0.445	21.996	0.03
379	2.504	18.869	0.465	22.931	0.033
380	2.478	18.676	0.453	22.374	0.032
381	2.444	18.398	0.45	22.358	0.031
382	2.396	18.073	0.446	21.941	0.029
383	2.482	18.721	0.447	22.038	0.031
384	2.521	18.978	0.46	22.531	0.032
385	2.471	18.645	0.46	22.513	0.032
386	2.485	18.692	0.463	22.657	0.031
387	2.477	18.661	0.455	22.539	0.031
388	2.559	19.304	0.472	23.016	0.034
389	2.489	18.776	0.463	22.734	0.032
390	2.503	18.86	0.47	23.143	0.032
391	2.395	18.047	0.445	22.062	0.03
392	2.494	18.797	0.462	22.601	0.031
393	2.508	18.895	0.469	23.086	0.032
394	2.442	18.408	0.457	22.384	0.031
395	2.445	18.427	0.46	22.636	0.031
396	2.452	18.439	0.452	22.185	0.03
397	2.461	18.583	0.461	22.694	0.031
398	2.489	18.756	0.468	22.923	0.032
399	2.487	18.744	0.459	22.554	0.032
400	2.377	17.91	0.442	21.807	0.029
401	2.466	18.541	0.457	22.48	0.03
402	2.508	18.869	0.468	22.884	0.032
403	2.534	19.079	0.47	22.996	0.033
404	2.49	18.759	0.468	23.138	0.032
405	2.452	18.483	0.455	22.348	0.031
406	2.433	18.341	0.445	22.209	0.031
407	2.452	18.492	0.452	22.51	0.031
408	2.45	18.449	0.458	22.54	0.032
409	2.558	19.313	0.474	23.123	0.034
410	2.426	18.293	0.449	22.093	0.03
411	2.463	18.557	0.46	22.769	0.032
412	2.454	18.494	0.455	22.303	0.031
413	2.445	18.4	0.45	22.235	0.031
414	2.511	18.955	0.462	22.875	0.033
415	2.4	18.066	0.442	21.788	0.03
416	2.442	18.396	0.454	22.5	0.031
417	2.467	18.569	0.466	22.763	0.032
418	2.526	19.013	0.467	22.679	0.032
419	2.493	18.777	0.465	22.846	0.032
420	2.472	18.638	0.454	22.498	0.031
421	2.516	18.973	0.472	23.012	0.032
422	2.51	18.943	0.456	22.548	0.033
423	2.454	18.497	0.45	22.275	0.032
424	2.479	18.68	0.466	22.863	0.032
425	2.505	18.886	0.46	22.722	0.032
426	2.504	18.865	0.466	22.873	0.032
427	2.551	19.2	0.471	23.055	0.033
428	2.493	18.768	0.467	22.745	0.032
429	2.476	18.67	0.457	22.582	0.032
430	2.49	18.773	0.453	22.448	0.032
431	2.407	18.116	0.451	22.097	0.03
432	2.483	18.675	0.462	22.684	0.032
433	2.504	18.86	0.466	22.663	0.032
434	2.476	18.711	0.453	22.564	0.032
435	2.449	18.429	0.456	22.572	0.032
436	2.493	18.757	0.471	22.945	0.032
437	2.492	18.801	0.457	22.409	0.032
438	2.434	18.362	0.449	22.154	0.032
439	2.438	18.365	0.454	22.473	0.032
440	2.454	18.487	0.45	22.208	0.031
441	2.509	18.699	0.493	23.043	0.032
442	2.48	18.682	0.46	22.551	0.031
443	2.46	18.51	0.454	22.468	0.031
444	2.52	18.982	0.456	22.604	0.033
445	2.531	19.106	0.467	22.823	0.033
446	2.381	17.945	0.437	21.481	0.029
447	2.493	18.777	0.463	22.847	0.032
448	2.392	18.038	0.443	22.062	0.031
449	2.446	18.413	0.455	22.408	0.031
450	2.479	18.668	0.447	22.187	0.031
451	2.431	18.318	0.456	22.387	0.032
452	2.399	18.087	0.449	22.219	0.031
453	2.482	18.702	0.466	22.849	0.032
454	2.459	18.539	0.454	22.476	0.031
455	2.52	18.986	0.466	22.883	0.032
456	2.453	18.476	0.456	22.519	0.031
