Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F
Sample115	2.08E+01	1.27E+01	1.75E+01	2.08E+01	1.52E+01	1.71E+01
Sample116	2.05E+01	4.28E+00	2.35E+01	2.94E+01	2.31E+01	2.07E+01
Sample117	9.35E+00	7.83E+00	1.36E+01	1.53E+01	2.06E+01	2.62E+01
Sample118	3.26E+01	1.10E+01	1.54E+01	1.72E+01	1.53E+01	2.86E+01
Sample119	1.53E+01	1.95E+01	1.72E+01	1.68E+01	3.23E+01	1.96E+01
Sample120	1.68E+01	1.05E+01	1.76E+01	1.76E+01	1.83E+01	2.51E+01
Sample121	1.81E+01	8.06E+00	1.57E+01	1.34E+01	3.08E+01	1.69E+01
Sample122	1.16E+01	1.62E+01	1.57E+01	1.53E+01	2.69E+01	1.59E+01
Sample123	3.26E+01	1.40E+01	1.80E+01	1.58E+01	2.02E+01	1.61E+01
Sample124	4.60E+01	8.82E+00	5.79E+01	3.67E+01	6.50E+01	1.00E+01
Sample125	3.24E+01	8.30E+00	5.91E+01	2.46E+01	4.46E+01	1.93E+01
Sample126	2.50E+01	1.31E+01	1.99E+01	1.12E+01	5.81E+00	1.92E+01
Sample127	1.48E+01	1.03E+01	2.39E+01	3.56E+01	1.96E+01	1.98E+01
Sample128	2.33E+01	9.24E+00	1.66E+01	1.87E+01	1.17E+01	2.57E+01
Sample129	2.37E+01	7.01E+00	1.07E+01	1.87E+01	1.08E+01	2.24E+01
Sample130	2.19E+01	1.21E+01	1.03E+01	2.12E+01	1.92E+01	2.11E+01
Sample131	7.82E+00	7.66E+00	1.09E+01	2.04E+01	7.48E+00	1.69E+01
Sample132	3.03E+01	1.01E+01	1.55E+01	1.98E+01	1.08E+01	2.22E+01
Sample133	1.08E+01	2.97E+00	1.80E+01	9.15E+00	9.66E+00	1.54E+01
Sample134	1.43E+01	1.14E+01	1.70E+01	2.17E+01	1.25E+01	1.09E+01
Sample135	1.35E+01	9.68E+00	1.26E+01	1.83E+01	1.27E+01	1.73E+01
Sample136	1.12E+01	7.76E+00	2.06E+01	1.62E+01	1.62E+01	1.96E+01
Sample137	1.35E+01	1.53E+01	1.90E+01	1.84E+01	2.32E+01	1.54E+01
Sample138	4.81E+01	1.28E+01	5.21E+01	2.45E+01	7.77E+01	2.55E+01
Sample139	2.79E+01	9.38E+00	4.91E+01	2.43E+01	4.24E+01	1.82E+01
Sample140	3.99E+01	4.40E+01	2.79E+01	2.00E+01	4.19E+01	3.38E+01
Sample141	2.25E+01	1.15E+01	1.01E+01	2.06E+01	1.32E+01	1.92E+01
Sample142	3.08E+01	4.06E+01	2.26E+01	2.18E+01	4.52E+01	2.68E+01
Sample143	1.87E+01	2.03E+01	2.00E+01	3.26E+01	2.54E+01	3.16E+01
Sample144	5.28E+01	6.43E+00	5.87E+01	4.10E+01	7.20E+01	1.01E+01
Sample145	4.34E+01	9.41E+00	5.02E+01	3.27E+01	5.61E+01	9.04E+00
Sample146	2.01E+01	1.12E+01	2.42E+01	2.73E+01	7.94E+00	2.89E+01
Sample147	2.61E+01	1.09E+01	4.55E+01	2.26E+01	4.86E+01	2.26E+01
Sample148	2.30E+01	1.48E+01	2.10E+01	1.68E+01	2.12E+01	1.99E+01
Sample149	2.26E+01	2.98E+01	4.54E+01	3.25E+01	9.13E+00	2.24E+01
Sample150	2.31E+01	1.60E+01	1.84E+01	2.40E+01	1.56E+01	1.87E+01
Sample151	1.70E+01	1.44E+01	1.48E+01	1.91E+01	1.23E+01	1.82E+01
Sample152	1.57E+01	1.36E+01	2.57E+01	2.01E+01	2.15E+01	2.30E+01
Sample153	1.39E+01	9.52E+00	1.36E+01	2.37E+01	1.51E+01	2.77E+01
Sample154	3.13E+01	3.75E+00	4.59E+01	2.43E+01	4.51E+01	1.49E+01
Sample155	1.70E+01	1.03E+01	9.91E+00	1.77E+01	1.63E+01	1.85E+01
Sample156	1.97E+01	1.69E+01	1.15E+01	2.04E+01	1.22E+01	1.04E+01
Sample157	2.21E+01	1.37E+01	1.78E+01	2.90E+01	1.17E+01	1.96E+01
Sample158	2.07E+01	1.01E+01	1.68E+01	1.65E+01	1.29E+01	1.57E+01
Sample159	1.59E+01	1.05E+01	1.29E+01	1.72E+01	1.85E+01	1.39E+01
Sample160	4.39E+01	9.40E+00	5.34E+01	2.75E+01	5.47E+01	2.36E+01
Sample161	2.18E+01	1.09E+01	7.87E+00	1.49E+01	1.67E+01	1.97E+01
Sample162	4.43E+01	2.68E+01	6.36E+01	3.15E+01	4.48E+01	1.67E+01
Sample163	1.76E+01	1.81E+01	2.67E+01	1.80E+01	1.86E+01	1.20E+01
Sample164	1.28E+01	1.02E+01	1.94E+01	1.64E+01	1.11E+01	1.86E+01
Sample165	1.51E+01	1.24E+01	2.34E+01	1.10E+01	1.66E+01	1.84E+01
Sample166	8.27E+00	1.69E+01	1.91E+01	2.04E+01	1.36E+01	1.63E+01
Sample167	2.36E+01	2.07E+01	2.85E+01	2.01E+01	1.03E+01	2.87E+01
Sample168	1.71E+01	9.22E+00	2.74E+01	7.88E+00	2.22E+01	1.32E+01
Sample169	4.99E+01	1.04E+01	6.02E+01	2.68E+01	6.47E+01	1.84E+01
Sample170	1.10E+01	1.17E+01	1.14E+01	1.62E+01	1.17E+01	1.60E+01
Sample171	1.92E+01	8.85E+00	1.37E+01	1.75E+01	1.66E+01	2.49E+01
Sample172	3.20E+01	1.02E+01	4.54E+01	2.85E+01	4.35E+01	2.93E+01
Sample173	4.85E+01	1.11E+01	6.02E+01	3.07E+01	6.25E+01	1.09E+01
Sample174	1.72E+01	9.51E+00	1.59E+01	2.50E+01	1.42E+01	1.76E+01
Sample175	3.88E+01	6.96E+00	5.81E+01	2.27E+01	5.99E+01	2.70E+01
Sample176	1.36E+01	1.51E+01	1.83E+01	2.95E+01	1.98E+01	2.23E+01
Sample177	2.97E+01	8.43E+00	5.41E+01	2.39E+01	4.43E+01	2.10E+01
Sample178	1.79E+01	1.45E+01	2.44E+01	2.52E+01	1.89E+01	1.58E+01
