Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample363	1019	0.982	104.552	10.26%	22.085	18.979%	0.0157
Sample364	983	0.976	147.462	15.001%	24.929	21.591%	0.0231
Sample365	1015	0.975	121.699	11.99%	25.085	22.061%	0.021
Sample366	1017	0.983	100.583	9.89%	21.092	18.265%	0.0137
Sample367	1028	0.978	164.887	16.04%	25.346	21.119%	0.0219
Sample368	992	0.992	66.208	6.674%	13.931	12.567%	0.0068
Sample369	989	0.985	91.574	9.259%	19.27	17.346%	0.0127
Sample370	986	0.994	58.747	5.958%	12.485	11.233%	0.0054
Sample371	1000	0.989	78.761	7.876%	16.578	14.916%	0.0122
Sample372	1008	0.983	92.868	9.213%	21.306	18.646%	0.0168
Sample373	1016	0.96	179.14	17.632%	32.452	28.332%	0.0306
Sample374	1000	0.99	77.713	7.771%	16.024	14.344%	0.0096
Sample375	1020	0.957	270.212	26.491%	36.892	29.175%	0.0497
Sample376	984	0.976	168.795	17.154%	26.603	21.721%	0.0288
Sample377	1023	0.935	266.239	26.025%	43.272	35.501%	0.0657
Sample378	968	0.983	136.69	14.121%	21.232	18.483%	0.0189
Sample379	1014	0.989	88.356	8.714%	17.072	14.903%	0.0111
Sample380	1016	0.959	212.405	20.906%	36.61	28.195%	0.0393
Sample381	1000	0.986	78.213	7.821%	18.665	16.623%	0.012
Sample382	1017	0.964	248.863	24.47%	33.26	26.617%	0.0405
Sample383	1022	0.983	116.95	11.443%	21.135	18.4%	0.0169
Sample384	1028	0.987	101.338	9.858%	18.819	16.052%	0.0124
Sample385	1028	0.981	116.329	11.316%	23.087	19.399%	0.0165
Sample386	1034	0.972	157.971	15.278%	28.127	23.821%	0.0245
Sample387	1019	0.979	111.693	10.961%	23.17	20.188%	0.0184
Sample388	1008	0.992	82.671	8.201%	14.484	12.676%	0.0074
Sample389	1019	0.977	122.426	12.014%	24.703	21.419%	0.0213
Sample390	976	0.969	173.563	17.783%	29.66	25.121%	0.0313
Sample391	965	0.98	148.48	15.387%	23.62	19.888%	0.0196
Sample392	992	0.978	99.224	10.002%	23.624	21.093%	0.0173
Sample393	999	0.884	420.732	42.115%	58.136	46.965%	0.1327
Sample394	964	0.935	230.062	23.865%	37.878	36.832%	0.0523
Sample395	981	0.967	177.432	18.087%	29.322	25.423%	0.0301
Sample396	1008	0.987	93.145	9.241%	18.157	15.969%	0.0126
Sample397	979	0.995	53.807	5.496%	11.323	10.363%	0.0054
Sample398	1026	0.977	132.818	12.945%	24.413	21.244%	0.0223
Sample399	968	0.973	172.422	17.812%	26.633	23.398%	0.0288
Sample400	1035	0.978	157.338	15.202%	25.224	21.075%	0.0205
Sample401	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample402	986	0.99	77.814	7.892%	15.823	14.091%	0.0082
Sample403	985	0.982	94.199	9.563%	21.118	19.05%	0.0174
Sample404	1013	0.976	120.622	11.907%	24.969	21.639%	0.0214
Sample405	1008	0.991	79.906	7.927%	16.002	13.936%	0.0082
Sample406	988	0.969	165.121	16.713%	29.455	24.582%	0.0298
Sample407	962	0.955	208.425	21.666%	32.442	30.202%	0.0457
Sample408	986	0.927	212.154	21.517%	44.554	37.397%	0.0517
Sample409	982	0.958	202.666	20.638%	34.361	28.668%	0.0427
Sample410	992	0.993	65.155	6.568%	13.239	11.943%	0.0074
Sample411	1020	0.964	175.974	17.252%	30.705	26.593%	0.0325
Sample412	985	0.981	95.902	9.736%	21.615	19.385%	0.014
Sample413	981	0.965	175.895	17.93%	31.561	26.384%	0.0344
Sample414	1028	0.985	143.797	13.988%	21.037	17.528%	0.016
Sample415	982	0.967	171.964	17.512%	28.658	25.388%	0.0296
Sample416	1019	0.906	261.478	25.66%	48.333	43.643%	0.074
Sample417	980	0.967	177.609	18.123%	29.911	25.519%	0.0335
Sample418	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample419	992	0.991	69.93	7.049%	14.824	13.304%	0.0077
Sample420	1013	0.947	281.552	27.794%	39.618	32.116%	0.0581
Sample421	975	0.978	144.574	14.828%	24.431	20.641%	0.0235
Sample422	1004	0.956	255.262	25.425%	38.221	29.78%	0.0456
Sample423	989	0.983	93.947	9.499%	20.145	18.134%	0.0148
Sample424	986	0.969	166.638	16.9%	30.183	24.947%	0.0294
Sample425	1000	0.988	78.341	7.834%	17.296	15.482%	0.0116
Sample426	992	0.99	73.589	7.418%	16.01	14.368%	0.0106
Sample427	1003	0.95	275.144	27.432%	38.579	31.317%	0.0554
Sample428	979	0.985	86.467	8.832%	18.926	17.522%	0.0155
Sample429	1000	0.986	90.903	9.09%	18.54	16.682%	0.0131
Sample430	972	0.941	187.203	19.26%	37.112	33.938%	0.0491
Sample431	1000	0.984	93.939	9.394%	20.373	17.786%	0.0127
Sample432	1008	0.975	119.923	11.897%	25.701	22.276%	0.023
Sample433	999	0.884	420.732	42.115%	58.136	46.965%	0.1327
Sample434	992	0.987	79.563	8.02%	17.656	16.011%	0.0141
Sample435	1023	0.935	266.239	26.025%	43.272	35.501%	0.0657
Sample436	1008	0.987	91.001	9.028%	18.115	15.854%	0.0125
Sample437	1008	0.973	132.787	13.173%	26.198	23.041%	0.0272
Sample438	985	0.957	204.062	20.717%	35.57	29.331%	0.0415
Sample439	973	0.969	167.056	17.169%	28.729	24.71%	0.0289
Sample440	1016	0.977	161.716	15.917%	25.903	21.553%	0.0224
Sample441	978	0.973	103.416	10.574%	25.068	23.386%	0.0219
Sample442	981	0.969	113.999	11.621%	27.183	24.517%	0.0282
Sample443	1000	0.941	204.807	20.481%	38.711	33.962%	0.0503
Sample444	1016	0.974	127.404	12.54%	26.409	22.8%	0.0223
Sample445	1013	0.982	98.693	9.743%	21.931	18.915%	0.016
Sample446	992	0.991	68.251	6.88%	15.057	13.583%	0.0086
Sample447	1019	0.976	190.384	18.683%	27.442	21.734%	0.0332
Sample448	985	0.99	72.151	7.325%	15.865	14.311%	0.0097
Sample449	971	0.983	140.025	14.421%	21.901	18.249%	0.0188
Sample450	979	0.973	103.573	10.579%	25.266	23.123%	0.024
Sample451	1014	0.984	106.246	10.478%	20.582	17.805%	0.0133
Sample452	1008	0.958	262.626	26.054%	36.288	29.031%	0.0514
Sample453	978	0.99	65.601	6.708%	15.666	14.445%	0.0085
