Samples	Signature A
Sample596	22447
Sample597	22523
Sample598	22560
Sample599	22588
Sample600	22667
Sample601	22696
Sample602	22727
Sample603	22775
Sample604	22806
Sample605	22841
Sample606	22873
Sample607	22909
Sample608	22935
Sample609	22962
Sample610	23037
Sample611	23067
Sample612	23110
Sample613	23139
Sample614	23219
Sample615	23245
Sample616	23271
Sample617	23348
Sample618	23377
Sample619	23402
Sample620	23428
Sample621	23457
Sample622	23485
Sample623	23521
Sample624	23563
Sample625	23612
Sample626	23647
Sample627	23724
Sample628	23780
Sample629	23810
Sample630	23832
Sample631	23859
Sample632	23889
Sample633	23929
Sample634	23968
Sample635	23996
Sample636	24024
Sample637	24055
Sample638	24083
Sample639	24109
Sample640	24148
Sample641	24176
Sample642	24201
Sample643	24277
Sample644	24313
Sample645	24339
Sample646	24416
Sample647	24457
Sample648	24531
Sample649	24560
Sample650	24591
Sample651	24619
Sample652	24650
Sample653	24678
Sample654	24717
Sample655	24745
Sample656	24773
Sample657	24799
Sample658	24810
Sample659	24849
Sample660	24923
Sample661	24962
Sample662	25000
Sample663	25033
Sample664	25060
Sample665	25134
Sample666	25211
Sample667	25219
Sample668	25244
Sample669	25323
Sample670	25354
Sample671	25401
Sample672	25432
Sample673	25461
Sample674	25515
Sample675	25543
Sample676	25619
Sample677	25651
Sample678	25701
Sample679	25740
Sample680	25766
Sample681	25795
Sample682	25823
Sample683	25850
Sample684	25876
Sample685	25951
Sample686	25981
Sample687	26011
Sample688	26041
Sample689	26072
Sample690	26148
Sample691	26173
Sample692	26203
Sample693	26230
Sample694	26259
Sample695	26287
Sample696	26314
Sample697	26353
Sample698	26379
Sample699	26427
Sample700	26464
Sample701	26495
Sample702	26526
Sample703	26577
Sample704	26608
Sample705	26646
Sample706	26674
Sample707	26700
Sample708	26745
Sample709	26792
Sample710	26818
Sample711	26862
Sample712	26903
Sample713	26929
Sample714	26964
Sample715	26998
Sample716	27025
Sample717	27048
Sample718	27091
Sample719	27128
Sample720	27155
Sample721	27180
Sample722	27214
Sample723	27243
Sample724	27274
Sample725	27321
Sample726	27356
Sample727	27381
Sample728	27413
Sample729	27438
Sample730	27478
Sample731	27514
Sample732	27540
Sample733	27566
Sample734	27590
Sample735	27618
Sample736	27647
Sample737	27686
Sample738	27759
Sample739	27785
Sample740	27812
Sample741	27837
Sample742	27911
Sample743	27937
Sample744	27962
Sample745	27981
Sample746	28007
Sample747	28080
Sample748	28121
Sample749	28146
Sample750	28182
Sample751	28211
Sample752	28234
Sample753	28261
Sample754	28289
Sample755	28316
Sample756	28347
Sample757	28390
Sample758	28433
Sample759	28469
Sample760	28496
Sample761	28526
Sample762	28554
Sample763	28582
Sample764	28621
Sample765	28649
Sample766	28679
Sample767	28705
Sample768	28739
Sample769	28780
Sample770	28806
Sample771	28839
Sample772	28866
Sample773	28892
Sample774	28917
Sample775	28954
Sample776	28977
Sample777	29058
Sample778	29087
Sample779	29126
Sample780	29157
Sample781	29188
Sample782	29214
Sample783	29242
Sample784	29315
Sample785	29347
Sample786	29374
Sample787	29405
Sample788	29449
Sample789	29489
Sample790	29518
Sample791	29549
Sample792	29586
Sample793	29602
Sample794	29639
Sample795	29671
Sample796	29717
Sample797	29748
Sample798	29785
Sample799	29827
Sample800	29855
Sample801	29884
Sample802	29922
Sample803	29952
Sample804	29983
Sample805	30007
Sample806	30032
Sample807	30061
Sample808	30084
Sample809	30127
Sample810	30153
Sample811	30182
Sample812	30215
Sample813	30239
Sample814	30266
Sample815	30294
