Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample121	4191	0.999	175.702	4.192%	31.321	3.822%	0.0023
Sample122	4222	0.999	175.61	4.159%	30.358	3.678%	0.0024
Sample123	4241	0.999	181.188	4.272%	31.462	3.8%	0.0025
Sample124	4279	0.999	174.606	4.081%	31.129	3.725%	0.0024
Sample125	4316	0.999	168.073	3.894%	30.812	3.656%	0.0023
Sample126	4350	0.999	168.075	3.864%	30.144	3.546%	0.0023
Sample127	4350	0.999	168.075	3.864%	30.144	3.546%	0.0023
Sample128	4383	0.999	175.354	4.001%	31.148	3.637%	0.0023
Sample129	4406	0.999	175.257	3.978%	30.719	3.566%	0.0022
Sample130	4432	0.999	181.769	4.101%	31.118	3.591%	0.0024
Sample131	4459	0.999	186.638	4.186%	31.461	3.607%	0.0024
Sample132	4485	0.999	187.138	4.173%	31.356	3.572%	0.0024
Sample133	4515	0.999	193.986	4.296%	32.61	3.688%	0.0025
Sample134	4541	0.999	200.074	4.406%	32.811	3.688%	0.0026
Sample135	4572	0.999	205.62	4.497%	33.74	3.767%	0.0027
Sample136	4602	0.999	208.008	4.52%	34.279	3.801%	0.0027
Sample137	4627	0.999	211.759	4.577%	35.2	3.879%	0.0027
Sample138	4668	0.999	201.896	4.325%	33.082	3.613%	0.0026
Sample139	4699	0.999	200.189	4.26%	33.133	3.594%	0.0025
Sample140	4772	0.999	182.99	3.835%	30.954	3.319%	0.002
Sample141	4797	0.999	190.067	3.962%	31.834	3.394%	0.0021
Sample142	4866	0.999	181.23	3.724%	30.246	3.185%	0.0019
Sample143	4892	0.999	184.018	3.762%	31.548	3.306%	0.0017
Sample144	4932	1.0	174.402	3.536%	29.102	3.024%	0.0016
Sample145	4972	1.0	172.604	3.472%	28.715	2.959%	0.0016
Sample146	5003	1.0	177.96	3.557%	29.992	3.068%	0.0016
Sample147	5039	1.0	172.566	3.425%	29.048	2.949%	0.0016
Sample148	5067	1.0	178.229	3.517%	30.125	3.039%	0.0017
Sample149	5086	1.0	178.637	3.512%	30.158	3.033%	0.0016
Sample150	5126	1.0	178.79	3.488%	30.174	3.012%	0.0016
Sample151	5154	1.0	181.64	3.524%	29.876	2.965%	0.0016
Sample152	5184	1.0	186.898	3.605%	30.9	3.046%	0.0016
Sample153	5219	1.0	195.133	3.739%	32.11	3.142%	0.0017
Sample154	5259	1.0	197.177	3.749%	31.987	3.108%	0.0021
Sample155	5288	0.999	201.296	3.807%	32.95	3.184%	0.0021
Sample156	5318	0.999	201.954	3.798%	33.361	3.204%	0.0022
Sample157	5347	0.999	208.942	3.908%	34.579	3.301%	0.0022
Sample158	5375	0.999	214.203	3.985%	35.143	3.335%	0.0023
Sample159	5402	0.999	223.718	4.141%	36.662	3.461%	0.0025
Sample160	5442	0.999	219.625	4.036%	35.57	3.334%	0.0024
Sample161	5473	0.999	225.303	4.117%	36.697	3.417%	0.0025
Sample162	5547	1.0	195.519	3.525%	34.008	3.133%	0.0019
Sample163	5577	1.0	201.445	3.612%	34.402	3.152%	0.002
Sample164	5604	0.999	211.564	3.775%	35.525	3.239%	0.002
Sample165	5629	0.999	220.207	3.912%	36.292	3.293%	0.0021
Sample166	5660	0.999	227.71	4.023%	37.092	3.346%	0.0021
Sample167	5701	0.999	226.869	3.979%	36.992	3.311%	0.0021
Sample168	5723	0.999	222.618	3.89%	36.282	3.238%	0.0021
Sample169	5763	1.0	215.789	3.744%	34.889	3.093%	0.0021
Sample170	5792	1.0	218.202	3.767%	35.061	3.092%	0.002
Sample171	5822	0.999	227.663	3.91%	36.615	3.211%	0.0021
Sample172	5861	1.0	218.563	3.729%	35.275	3.071%	0.002
Sample173	5901	1.0	211.335	3.581%	34.745	3.003%	0.002
Sample174	5930	1.0	216.136	3.645%	34.737	2.986%	0.002
Sample175	5973	1.0	208.278	3.487%	34.037	2.903%	0.002
Sample176	6002	1.0	209.599	3.492%	34.828	2.959%	0.002
Sample177	6040	1.0	201.666	3.339%	34.938	2.948%	0.002
Sample178	6068	1.0	206.359	3.401%	35.232	2.959%	0.002
Sample179	6096	1.0	212.245	3.482%	35.469	2.964%	0.0021
Sample180	6115	1.0	210.781	3.447%	35.068	2.922%	0.0021
Sample181	6142	1.0	218.715	3.561%	36.051	2.989%	0.0021
Sample182	6223	1.0	190.163	3.056%	31.725	2.602%	0.0017
Sample183	6251	1.0	196.693	3.147%	32.533	2.655%	0.0018
Sample184	6289	1.0	200.47	3.188%	33.212	2.694%	0.0018
Sample185	6364	1.0	176.309	2.77%	29.509	2.368%	0.0015
Sample186	6394	1.0	178.542	2.792%	30.134	2.408%	0.0015
Sample187	6427	1.0	183.317	2.852%	31.054	2.467%	0.0015
Sample188	6462	1.0	188.924	2.924%	32.09	2.534%	0.0016
