Samples	SBS1	SBS3	SBS5	Signature D
Sample431	37	498	465	0
Sample432	39	579	390	0
Sample433	0	574	0	425
Sample434	39	577	376	0
Sample435	22	444	557	0
Sample436	37	529	442	0
Sample437	39	597	372	0
Sample438	0	297	378	310
Sample439	26	409	538	0
Sample440	28	401	587	0
Sample441	41	612	325	0
Sample442	41	588	352	0
Sample443	23	557	420	0
Sample444	36	518	462	0
Sample445	36	510	467	0
Sample446	38	540	414	0
Sample447	0	272	497	250
Sample448	39	539	407	0
Sample449	23	287	661	0
Sample450	40	565	374	0
Sample451	37	506	471	0
Sample452	0	251	393	364
Sample453	54	710	0	214
Sample454	0	296	430	288
Sample455	24	354	645	0
Sample456	36	461	484	0
Sample457	0	388	355	276
Sample458	38	512	458	0
Sample459	40	581	371	0
Sample460	0	258	407	353
Sample461	39	575	394	0
Sample462	40	545	415	0
Sample463	28	406	533	0
Sample464	43	565	364	0
Sample465	37	515	428	0
Sample466	38	587	375	0
Sample467	34	496	490	0
Sample468	55	714	0	212
Sample469	38	551	403	0
Sample470	37	519	444	0
Sample471	31	468	529	0
Sample472	30	461	544	0
Sample473	36	526	456	0
Sample474	30	442	549	0
Sample475	23	505	442	0
Sample476	49	667	302	0
Sample477	44	592	353	0
Sample478	40	571	369	0
Sample479	38	551	426	0
Sample480	24	341	615	0
Sample481	39	510	437	0
Sample482	43	549	387	0
Sample483	39	579	396	0
Sample484	38	528	420	0
Sample485	40	553	393	0
Sample486	46	636	307	0
Sample487	22	342	619	0
Sample488	39	587	382	0
Sample489	42	542	388	0
Sample490	37	533	438	0
Sample491	15	0	964	0
Sample492	15	0	716	286
Sample493	31	485	507	0
Sample494	24	304	641	0
Sample495	38	540	403	0
Sample496	0	279	392	301
Sample497	40	523	429	0
Sample498	23	408	581	0
Sample499	38	540	414	0
Sample500	23	404	586	0
Sample501	25	428	555	0
Sample502	40	570	382	0
Sample503	36	498	479	0
Sample504	37	527	454	0
Sample505	34	566	416	0
Sample506	19	383	572	0
Sample507	56	723	0	201
Sample508	40	569	391	0
Sample509	13	0	725	276
Sample510	0	341	357	286
Sample511	0	321	376	318
Sample512	34	521	470	0
Sample513	58	707	0	223
Sample514	0	540	0	486
Sample515	39	542	419	0
Sample516	18	0	577	413
Sample517	39	574	395	0
Sample518	40	581	364	0
Sample519	54	697	0	249
Sample520	38	548	406	0
Sample521	55	692	0	245
Sample522	0	288	416	275
Sample523	25	349	605	0
Sample524	36	535	437	0
Sample525	37	503	0	468
Sample526	38	496	445	0
Sample527	16	0	547	445
Sample528	38	449	485	0
Sample529	39	539	401	0
Sample530	23	525	437	0
Sample531	54	674	0	264
Sample532	0	252	314	447
Sample533	42	621	316	0
Sample534	25	314	627	0
Sample535	31	465	528	0
Sample536	38	581	381	0
Sample537	39	554	399	0
Sample538	38	519	435	0
Sample539	0	665	0	349
Sample540	11	0	662	342
Sample541	38	493	461	0
Sample542	21	288	665	0
Sample543	36	528	436	0
Sample544	41	576	363	0
Sample545	0	241	304	481
Sample546	28	415	591	0
Sample547	55	652	0	272
Sample548	31	634	361	0
Sample549	32	431	537	0
Sample550	58	710	0	220
Sample551	40	555	384	0
Sample552	36	501	463	0
Sample553	40	568	376	0
Sample554	42	627	331	0
Sample555	21	329	635	0
Sample556	36	505	479	0
Sample557	40	530	417	0
Sample558	55	699	0	231
Sample559	37	541	422	0
Sample560	0	320	434	223
Sample561	0	574	0	425
Sample562	39	568	401	0
Sample563	13	0	971	0
Sample564	42	529	408	0
Sample565	39	612	363	0
Sample566	40	555	424	0
Sample567	59	682	0	232
Sample568	30	468	471	0
Sample569	23	347	624	0
Sample570	42	643	307	0
Sample571	42	605	338	0
Sample572	0	310	368	294
Sample573	26	552	446	0
Sample574	38	524	418	0
Sample575	0	272	313	432
Sample576	0	574	0	425
Sample577	35	518	447	0
Sample578	35	562	417	0
Sample579	23	387	573	0
Sample580	57	705	0	219
Sample581	39	601	368	0
Sample582	0	255	428	321
Sample583	56	699	0	237
Sample584	28	408	531	0
Sample585	0	574	0	425
Sample586	37	513	450	0
Sample587	17	0	595	413
Sample588	38	513	441	0
Sample589	30	440	544	0
Sample590	22	328	624	0
Sample591	37	503	440	0
Sample592	26	380	629	0
Sample593	18	264	690	0
Sample594	26	333	628	0
Sample595	36	540	432	0
Sample596	0	313	357	352
Sample597	0	347	419	242
Sample598	29	416	590	0
Sample599	40	548	404	0
Sample600	0	211	380	414
Sample601	40	593	359	0
Sample602	33	444	531	0
Sample603	48	610	0	350
Sample604	39	562	413	0
Sample605	33	511	472	0
Sample606	53	674	0	291
Sample607	0	443	382	202
Sample608	41	603	340	0
Sample609	38	534	413	0
Sample610	0	283	433	298
Sample611	38	530	440	0
Sample612	0	261	435	285
Sample613	41	602	357	0
Sample614	13	0	598	396
Sample615	54	696	0	235
Sample616	39	515	425	0
Sample617	12	0	697	306
Sample618	39	552	409	0
Sample619	44	579	366	0
Sample620	54	717	0	209
Sample621	39	529	424	0
Sample622	39	550	403	0
Sample623	52	623	0	354
Sample624	21	303	648	0
Sample625	0	269	443	282
Sample626	32	477	515	0
Sample627	0	266	366	388
Sample628	0	305	438	274
Sample629	38	533	437	0
Sample630	40	518	405	0
Sample631	36	475	475	0
Sample632	39	550	419	0
Sample633	27	375	566	0
Sample634	26	363	585	0
Sample635	55	686	0	244
Sample636	43	582	363	0
Sample637	35	505	475	0
Sample638	39	573	388	0
Sample639	40	604	334	0
Sample640	24	325	631	0
Sample641	39	578	375	0
Sample642	41	535	413	0
Sample643	0	258	372	384
Sample644	33	502	493	0
Sample645	38	538	405	0
Sample646	0	334	399	280
Sample647	22	302	661	0
Sample648	13	0	738	251
Sample649	34	476	490	0
Sample650	42	602	364	0
Sample651	37	525	430	0
Sample652	36	529	453	0
Sample653	39	563	390	0
Sample654	30	466	531	0
Sample655	36	492	464	0
Sample656	39	579	382	0
Sample657	53	692	0	240
Sample658	37	670	334	0
Sample659	0	258	496	220
Sample660	0	317	428	272
Sample661	25	338	604	0
Sample662	24	292	653	0
Sample663	0	365	457	193
Sample664	40	562	383	0
Sample665	0	256	415	345
Sample666	1	0	1004	0
Sample667	39	701	292	0
Sample668	46	641	302	0
Sample669	0	262	383	362
Sample670	37	485	493	0
Sample671	20	301	673	0
Sample672	37	543	428	0
Sample673	40	570	382	0
Sample674	0	308	388	312
Sample675	39	559	387	0
Sample676	0	291	418	307
Sample677	30	561	424	0
Sample678	0	341	371	296
Sample679	28	384	563	0
Sample680	55	703	0	221
Sample681	36	488	476	0
Sample682	35	473	484	0
Sample683	38	529	418	0
Sample684	40	579	373	0
Sample685	17	411	583	0
Sample686	37	540	431	0
Sample687	35	494	479	0
Sample688	40	588	364	0
Sample689	37	533	438	0
Sample690	13	348	656	0
Sample691	47	687	237	0
Sample692	38	597	373	0
Sample693	40	564	382	0
Sample694	38	513	449	0
Sample695	40	578	382	0
Sample696	38	553	394	0
Sample697	27	377	573	0
Sample698	54	653	0	274
Sample699	23	379	606	0
Sample700	29	449	556	0
Sample701	40	582	393	0
Sample702	37	467	509	0
Sample703	0	307	403	303
Sample704	38	555	421	0
Sample705	28	411	529	0
Sample706	39	587	374	0
Sample707	58	714	0	217
Sample708	22	368	597	0
Sample709	25	460	516	0
Sample710	40	605	333	0
Sample711	21	319	647	0
Sample712	22	362	597	0
Sample713	45	624	320	0
Sample714	30	434	551	0
Sample715	36	485	506	0
Sample716	38	528	434	0
Sample717	38	449	485	0
Sample718	19	278	683	0
Sample719	30	469	535	0
Sample720	55	655	0	275
Sample721	42	551	394	0
Sample722	29	410	576	0
Sample723	39	570	404	0
Sample724	40	589	386	0
Sample725	23	362	616	0
Sample726	11	318	638	0
Sample727	42	532	414	0
Sample728	32	491	493	0
Sample729	42	542	402	0
Sample730	25	340	618	0
Sample731	27	394	613	0
Sample732	38	544	410	0
Sample733	38	494	454	0
Sample734	37	489	457	0
Sample735	39	558	403	0
Sample736	41	603	356	0
Sample737	30	400	552	0
Sample738	14	372	633	0
Sample739	42	529	416	0
Sample740	38	526	416	0
Sample741	40	517	431	0
Sample742	0	316	376	324
Sample743	38	537	410	0
Sample744	40	535	413	0
Sample745	35	540	445	0
Sample746	55	650	0	275
Sample747	0	341	438	235
Sample748	24	313	643	0
Sample749	38	526	417	0
Sample750	30	427	571	0
Sample751	30	567	421	0
Sample752	38	449	485	0
Sample753	37	470	479	0
Sample754	40	551	395	0
Sample755	39	537	409	0
Sample756	37	527	436	0
Sample757	20	310	653	0
Sample758	22	368	595	0
Sample759	0	397	404	221
Sample760	41	610	334	0
Sample761	38	544	426	0
Sample762	36	494	470	0
Sample763	40	550	395	0
Sample764	26	317	627	0
Sample765	38	532	430	0
Sample766	55	711	0	214
Sample767	38	489	455	0
Sample768	40	593	382	0
Sample769	0	320	427	234
Sample770	41	554	383	0
Sample771	35	488	503	0
Sample772	31	569	384	0
Sample773	38	512	430	0
Sample774	38	502	440	0
Sample775	52	563	0	363
Sample776	38	449	485	0
Sample777	0	280	492	242
Sample778	43	664	285	0
Sample779	23	282	674	0
Sample780	34	485	495	0
Sample781	36	482	495	0
Sample782	40	572	368	0
Sample783	35	482	483	0
Sample784	0	256	371	387
Sample785	36	497	485	0
Sample786	55	674	0	256
Sample787	38	565	405	0
Sample788	23	326	633	0
Sample789	18	0	955	0
Sample790	38	538	424	0
Sample791	45	713	250	0
Sample792	33	558	443	0
Sample793	21	607	395	0
Sample794	51	549	0	367
Sample795	38	562	417	0
Sample796	0	370	342	276
Sample797	55	705	0	240
Sample798	32	478	512	0
Sample799	20	277	677	0
Sample800	36	516	440	0
Sample801	39	571	390	0
Sample802	32	421	516	0
Sample803	55	711	0	242
Sample804	37	561	420	0
Sample805	57	710	0	214
Sample806	56	726	0	208
Sample807	38	555	421	0
Sample808	37	412	521	0
Sample809	13	0	968	0
Sample810	39	558	388	0
Sample811	37	530	433	0
Sample812	35	471	520	0
Sample813	41	520	418	0
Sample814	40	556	390	0
Sample815	39	538	423	0
Sample816	15	0	965	0
Sample817	31	437	566	0
Sample818	26	425	542	0
Sample819	20	441	522	0
Sample820	0	336	422	218
Sample821	36	526	457	0
Sample822	40	571	373	0
Sample823	39	565	396	0
Sample824	57	710	0	214
Sample825	21	292	667	0
Sample826	20	282	672	0
Sample827	36	529	443	0
Sample828	0	417	397	194
Sample829	39	526	427	0
Sample830	9	295	705	0
Sample831	42	538	399	0
Sample832	29	433	565	0
Sample833	35	479	478	0
Sample834	27	525	461	0
Sample835	38	449	485	0
Sample836	53	719	0	213
Sample837	24	311	653	0
Sample838	40	547	392	0
Sample839	38	563	417	0
Sample840	0	580	0	428
Sample841	24	346	611	0
Sample842	55	725	0	239
Sample843	38	449	485	0
Sample844	40	561	391	0
Sample845	27	388	551	0
Sample846	0	234	412	369
Sample847	47	546	0	408
Sample848	37	526	445	0
Sample849	0	252	379	382
Sample850	29	603	367	0
Sample851	21	525	468	0
Sample852	40	609	359	0
Sample853	24	300	663	0
Sample854	28	404	536	0
Sample855	38	449	485	0
Sample856	38	555	421	0
Sample857	0	342	418	220
Sample858	39	567	374	0
Sample859	0	266	346	396
Sample860	36	497	459	0
Sample861	37	527	436	0
Sample862	31	550	427	0
Sample863	40	584	368	0
Sample864	39	545	416	0
Sample865	22	289	656	0
Sample866	38	563	399	0
Sample867	39	553	408	0
Sample868	39	456	468	0
Sample869	0	694	0	326
Sample870	55	658	0	301
Sample871	38	533	448	0
Sample872	38	449	485	0
Sample873	29	444	561	0
Sample874	38	555	421	0
Sample875	38	612	312	0
Sample876	41	602	336	0
Sample877	38	449	485	0
Sample878	0	0	1015	0
Sample879	40	591	350	0
Sample880	23	505	442	0
Sample881	32	474	509	0
