Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample1676	973	0.886	429.538	44.146%	56.221	47.521%	0.1548
Sample1677	1026	0.883	450.769	43.935%	57.898	48.618%	0.1695
Sample1678	1000	0.88	429.486	42.949%	56.001	49.874%	0.1688
Sample1679	969	0.893	414.113	42.736%	53.489	46.289%	0.1626
Sample1680	1012	0.948	327.941	32.405%	42.252	33.481%	0.1026
Sample1681	985	0.877	424.515	43.098%	55.867	50.661%	0.1727
Sample1682	1023	0.894	423.701	41.417%	54.58	46.814%	0.1541
Sample1683	975	0.882	439.762	45.104%	57.062	48.38%	0.1717
Sample1684	981	0.936	336.28	34.279%	44.624	37.185%	0.1175
Sample1685	982	0.881	441.627	44.972%	58.087	48.463%	0.1669
Sample1686	983	0.867	440.586	44.821%	57.044	53.712%	0.1997
Sample1687	989	0.867	448.935	45.393%	58.3	52.48%	0.1852
Sample1688	985	0.878	422.604	42.904%	55.527	50.619%	0.1734
Sample1689	1000	0.878	428.104	42.81%	56.317	50.412%	0.1726
Sample1690	992	0.895	389.195	39.233%	52.369	46.758%	0.1561
Sample1691	1022	0.889	429.818	42.057%	55.352	48.189%	0.1632
Sample1692	980	0.877	431.547	44.035%	55.338	50.542%	0.1836
Sample1693	1014	0.882	438.43	43.238%	56.51	49.332%	0.1666
Sample1694	979	0.86	491.561	50.211%	66.273	54.2%	0.2038
Sample1695	1027	0.89	439.506	42.795%	56.99	47.083%	0.1618
Sample1696	994	0.833	524.7	52.787%	70.767	56.514%	0.2018
Sample1697	1000	0.878	431.701	43.17%	56.856	50.129%	0.1727
Sample1698	1023	0.873	456.096	44.584%	61.059	50.094%	0.1656
Sample1699	1035	0.901	424.573	41.022%	53.544	45.02%	0.146
Sample1700	1000	0.875	447.413	44.741%	57.72	51.146%	0.1906
Sample1701	1008	0.87	452.568	44.898%	59.014	51.648%	0.1774
Sample1702	980	0.869	457.528	46.687%	59.919	51.121%	0.1779
Sample1703	1029	0.881	460.543	44.756%	58.69	49.431%	0.169
Sample1704	1017	0.854	481.651	47.36%	63.026	54.579%	0.2013
Sample1705	973	0.873	446.919	45.932%	59.01	50.122%	0.18
Sample1706	982	0.869	475.493	48.421%	59.157	51.451%	0.1831
Sample1707	1008	0.873	451.839	44.825%	59.157	51.521%	0.1964
Sample1708	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample1709	1015	0.885	428.081	42.175%	56.04	48.804%	0.1676
Sample1710	992	0.879	423.154	42.657%	55.913	50.44%	0.1727
Sample1711	1000	0.889	421.915	42.192%	54.68	48.452%	0.1783
Sample1712	979	0.856	456.089	46.587%	59.965	54.265%	0.191
Sample1713	972	0.89	413.905	42.583%	52.526	48.034%	0.1659
Sample1714	980	0.854	451.085	46.029%	61.415	54.309%	0.2081
