Samples	Signature A	Signature B	Signature C
Sample622	22344	378	763
Sample623	22425	340	756
Sample624	22403	391	769
Sample625	22374	450	788
Sample626	22312	542	793
Sample627	22684	249	791
Sample628	22901	94	785
Sample629	22903	129	778
Sample630	22943	113	776
Sample631	22895	195	769
Sample632	22866	254	769
Sample633	22841	313	775
Sample634	22798	389	781
Sample635	22794	430	772
Sample636	22821	441	762
Sample637	22850	447	758
Sample638	22861	474	748
Sample639	22878	485	746
Sample640	22892	515	741
Sample641	22897	539	740
Sample642	22885	584	732
Sample643	23232	308	737
Sample644	23230	344	739
Sample645	23220	386	733
Sample646	23464	217	735
Sample647	23473	248	736
Sample648	23667	116	748
Sample649	23648	167	745
Sample650	23665	183	743
Sample651	23696	184	739
Sample652	23694	217	739
Sample653	23643	304	731
Sample654	23664	317	736
Sample655	23646	370	729
Sample656	23592	457	724
Sample657	23652	437	710
Sample658	23646	464	700
Sample659	23731	426	692
Sample660	23979	253	691
Sample661	23990	279	693
Sample662	23983	331	686
Sample663	24023	336	674
Sample664	24027	368	665
Sample665	24344	124	666
Sample666	24480	62	669
Sample667	24424	126	669
Sample668	24404	174	666
Sample669	24664	0	659
Sample670	24571	116	667
Sample671	24558	172	671
Sample672	24506	256	670
Sample673	24483	318	660
Sample674	24615	230	670
Sample675	24620	261	662
Sample676	24851	105	663
Sample677	24819	165	667
Sample678	24973	57	671
Sample679	25040	35	665
Sample680	25052	60	654
Sample681	25038	104	653
Sample682	25018	164	641
Sample683	25042	179	629
Sample684	25040	215	621
Sample685	25285	45	621
Sample686	25348	14	619
Sample687	25319	70	622
Sample688	25300	125	616
Sample689	25265	189	618
Sample690	25454	65	629
Sample691	25425	126	622
Sample692	25436	147	620
Sample693	25420	199	611
Sample694	25365	287	607
Sample695	25336	346	605
Sample696	25317	395	602
Sample697	25254	488	611
Sample698	25311	469	599
Sample699	25382	442	603
Sample700	25410	448	606
Sample701	25423	467	605
Sample702	25322	598	606
Sample703	25495	483	599
Sample704	25460	547	601
Sample705	25450	593	603
Sample706	25447	631	596
Sample707	25434	676	590
Sample708	25544	619	582
Sample709	25684	513	595
Sample710	25706	522	590
Sample711	25710	552	600
Sample712	25875	419	609
Sample713	25859	466	604
Sample714	25845	513	606
Sample715	25799	585	614
Sample716	25839	579	607
Sample717	25725	713	610
Sample718	25738	742	611
Sample719	25820	691	617
Sample720	25857	680	618
Sample721	25801	768	611
Sample722	25742	853	619
Sample723	25755	878	610
Sample724	25702	962	610
Sample725	25710	995	616
Sample726	25762	977	617
Sample727	25694	1070	617
Sample728	25651	1149	613
Sample729	25556	1265	617
Sample730	25565	1298	615
Sample731	25573	1334	607
Sample732	25564	1379	597
Sample733	25543	1425	598
Sample734	25554	1445	591
Sample735	25576	1466	576
Sample736	25538	1525	584
Sample737	25587	1502	597
Sample738	25749	1409	601
Sample739	25748	1443	594
Sample740	25793	1432	587
Sample741	25818	1446	573
Sample742	26064	1266	581
Sample743	26031	1329	577
Sample744	26074	1321	567
Sample745	26052	1363	566
Sample746	26127	1317	563
Sample747	26441	1058	581
Sample748	26446	1088	587
Sample749	26428	1139	579
Sample750	26401	1203	578
Sample751	26400	1241	570
Sample752	26286	1375	573
Sample753	26267	1422	572
Sample754	26238	1482	569
Sample755	26225	1528	563
Sample756	26189	1593	565
Sample757	26212	1604	574
Sample758	26241	1609	583
Sample759	26294	1597	578
Sample760	26314	1616	566
Sample761	26268	1693	565
Sample762	26254	1736	564
Sample763	26274	1749	559
Sample764	26208	1853	560
Sample765	26208	1887	554
Sample766	26252	1877	550
Sample767	26170	1985	550
Sample768	26138	2046	555
Sample769	26177	2053	550
Sample770	26077	2179	550
Sample771	26043	2249	547
Sample772	26023	2298	545
Sample773	25962	2382	548
Sample774	25943	2429	545
Sample775	26023	2379	552
Sample776	25909	2513	555
Sample777	26181	2305	572
Sample778	26225	2294	568
Sample779	26119	2433	574
Sample780	26118	2474	565
Sample781	26057	2566	565
Sample782	26066	2594	554
Sample783	26073	2623	546
Sample784	26399	2371	545
Sample785	26309	2495	543
Sample786	26334	2501	539
Sample787	26281	2577	547
Sample788	26298	2598	553
Sample789	26346	2605	538
Sample790	26316	2669	533
Sample791	26303	2708	538
Sample792	26324	2715	547
Sample793	26429	2639	534
Sample794	26518	2591	530
Sample795	26590	2556	525
Sample796	26760	2418	539
Sample797	26795	2419	534
Sample798	26808	2444	533
Sample799	26794	2493	540
Sample800	26808	2516	531
Sample801	26809	2547	528
Sample802	26800	2577	545
Sample803	26825	2589	538
Sample804	26818	2627	538
Sample805	26853	2628	526
Sample806	26911	2606	515
Sample807	26868	2683	510
Sample808	26887	2687	510
Sample809	26906	2715	506
Sample810	26945	2710	498
Sample811	26948	2743	491
Sample812	26848	2880	487
Sample813	26831	2929	479
Sample814	26848	2949	469
Sample815	26802	3026	466
Sample816	26748	3121	469
Sample817	26719	3194	463
Sample818	26881	3069	467
Sample819	26911	3079	468
Sample820	26976	3053	468
Sample821	26993	3071	463
Sample822	27024	3077	456
Sample823	26949	3188	451
Sample824	26997	3177	437
Sample825	27013	3203	437
Sample826	27028	3221	448
Sample827	27052	3232	443
Sample828	27089	3238	429
Sample829	27016	3342	426
Sample830	27187	3236	441
Sample831	27183	3273	432
Sample832	27211	3286	429
Sample833	27218	3317	419
Sample834	27227	3343	417
Sample835	27113	3477	420
Sample836	27186	3440	412
Sample837	27169	3496	413
Sample838	27169	3534	401
Sample839	27157	3580	399
Sample840	27895	2880	545
Sample841	27882	2930	551
Sample842	27913	2925	555
Sample843	27799	3059	558
Sample844	27753	3136	555
Sample845	27757	3175	550
Sample846	27951	3050	555
Sample847	28132	2922	549
Sample848	28100	2988	545
Sample849	28408	2754	547
Sample850	28373	2804	549
Sample851	28329	2874	557
Sample852	28342	2886	562
Sample853	28354	2920	557
Sample854	28388	2920	562
Sample855	28273	3055	565
Sample856	28226	3133	564
Sample857	28432	2958	576
Sample858	28428	2998	567
Sample859	28714	2773	578
Sample860	28690	2828	573
Sample861	28643	2906	572
Sample862	28608	2975	568
Sample863	28619	3001	559
Sample864	28592	3063	553
Sample865	28612	3078	556
Sample866	28636	3090	549
Sample867	28607	3153	544
Sample868	28602	3179	545
Sample869	28748	3057	555
Sample870	28769	3072	552
Sample871	28794	3063	567
Sample872	28680	3197	570
Sample873	28684	3221	581
Sample874	28648	3286	583
Sample875	28691	3258	590
Sample876	28647	3330	588
Sample877	28533	3464	591
Sample878	28880	3215	576
Sample879	28910	3210	577
Sample880	28990	3147	583
Sample881	28954	3215	586
Sample882	28954	3252	580
Sample883	28882	3350	581
Sample884	28953	3317	576
Sample885	28997	3308	569
Sample886	28920	3410	575
Sample887	28922	3436	575
Sample888	28871	3515	572
Sample889	28806	3605	585
Sample890	28771	3669	587
Sample891	28792	3683	581
Sample892	28747	3756	580
Sample893	28756	3777	578
Sample894	28882	3699	574
Sample895	29224	3429	576
Sample896	29309	3381	581
Sample897	29343	3378	573
Sample898	30050	2705	715
Sample899	30033	2752	714
Sample900	29969	2852	717
Sample901	29979	2887	706
Sample902	29982	2910	710
Sample903	30048	2891	700
Sample904	30022	2952	693
Sample905	30087	2915	694
Sample906	30079	2961	683
Sample907	30090	2982	677
Sample908	30096	3008	680
Sample909	30110	3029	676
Sample910	30420	2804	674
Sample911	30412	2850	663
Sample912	30384	2909	658
Sample913	30387	2937	667
Sample914	30223	3120	673
Sample915	30224	3149	669
Sample916	30476	2972	672
Sample917	30465	3019	666
Sample918	30441	3081	653
Sample919	30649	2938	656
Sample920	30666	2958	661
Sample921	30693	2985	642
Sample922	30639	3068	641
Sample923	30658	3088	630
Sample924	30839	2943	637
Sample925	30824	2987	643
Sample926	30813	3030	638
Sample927	30773	3103	634
Sample928	30791	3115	647
Sample929	30779	3161	644
Sample930	30840	3140	646
Sample931	30726	3274	649
Sample932	30794	3237	646
Sample933	30933	3148	647
Sample934	31515	2599	773
Sample935	31489	2655	768
Sample936	31656	2544	768
Sample937	31863	2405	778
Sample938	31915	2390	768
Sample939	31856	2474	770
Sample940	32136	2271	771
Sample941	32021	2406	774
Sample942	32252	2212	786
Sample943	32216	2287	783
Sample944	32229	2300	778
Sample945	32253	2313	768
Sample946	32543	2091	772
Sample947	32820	1885	780
Sample948	32828	1907	776
Sample949	32926	1856	767
Sample950	32812	1990	770
Sample951	32791	2039	773
Sample952	33016	1884	781
Sample953	33010	1928	772
Sample954	32968	2005	765
Sample955	33034	1974	756
Sample956	33069	1975	747
Sample957	33194	1897	750
Sample958	33162	1966	745
Sample959	33161	2001	743
Sample960	33489	1738	755
Sample961	33481	1783	752
Sample962	33512	1781	752
Sample963	33668	1652	774
Sample964	33553	1787	777
Sample965	33582	1805	772
Sample966	33587	1836	770
Sample967	33720	1724	776
Sample968	33834	1684	782
Sample969	33934	1627	781
Sample970	33890	1712	781
Sample971	34599	1036	924
Sample972	34654	1004	917
Sample973	34541	1138	919
Sample974	34505	1206	917
Sample975	34391	1340	920
Sample976	34363	1405	923
Sample977	34395	1409	918
Sample978	34362	1473	915
Sample979	34492	1375	926
Sample980	34424	1448	955
Sample981	34453	1455	945
Sample982	34396	1543	943
Sample983	34362	1612	941
Sample984	34330	1676	939
Sample985	34289	1753	943
Sample986	34239	1841	943
Sample987	34168	1943	942
Sample988	34105	2043	936
Sample989	34059	2120	934
Sample990	34090	2106	960
Sample991	34122	2106	953
Sample992	34138	2119	954
Sample993	34165	2132	943
Sample994	34128	2203	941
Sample995	34082	2288	934
Sample996	34050	2352	931
Sample997	33973	2457	931
Sample998	34074	2390	944
Sample999	34077	2430	941
Sample1000	34053	2481	940
Sample1001	34050	2510	947
Sample1002	34053	2538	944
Sample1003	34036	2595	931
Sample1004	34046	2628	929
Sample1005	34017	2686	927
Sample1006	34021	2725	915
Sample1007	33984	2793	913
Sample1008	33968	2850	914
Sample1009	34024	2835	904
Sample1010	34054	2847	893
Sample1011	34030	2902	893
Sample1012	34071	2884	889
Sample1013	34024	2962	888
Sample1014	34048	2979	890
Sample1015	34076	2989	881
Sample1016	34050	3049	881
Sample1017	34429	2748	877
Sample1018	34344	2853	886
Sample1019	34347	2887	886
Sample1020	34315	2951	884
Sample1021	34590	2750	882
Sample1022	34579	2796	874
Sample1023	34464	2931	877
Sample1024	34733	2731	882
Sample1025	34692	2808	874
Sample1026	34740	2769	886
Sample1027	34753	2794	878
Sample1028	34893	2704	876
Sample1029	34888	2754	874
Sample1030	34878	2799	866
Sample1031	34764	2933	869
Sample1032	34823	2921	872
Sample1033	35123	2691	881
Sample1034	35147	2715	868
Sample1035	35178	2716	863
Sample1036	35189	2749	862
Sample1037	35194	2788	853
Sample1038	35474	2562	871
Sample1039	35439	2607	877
Sample1040	35469	2605	879
Sample1041	35396	2690	892
Sample1042	35358	2758	887
Sample1043	35244	2893	889
Sample1044	35419	2747	906
Sample1045	35448	2753	896
Sample1046	35503	2734	892
Sample1047	35424	2842	895
Sample1048	35423	2872	893
Sample1049	35419	2909	886
Sample1050	35480	2885	876
Sample1051	35512	2882	886
Sample1052	35511	2925	888
Sample1053	35479	2983	890
Sample1054	35507	2987	892
Sample1055	35577	2958	888
Sample1056	35608	2967	880
Sample1057	35623	2986	874
Sample1058	35546	3090	891
Sample1059	36002	2716	888
Sample1060	36385	2410	892
Sample1061	36507	2325	901
Sample1062	36732	2153	892
Sample1063	36779	2144	893
Sample1064	36824	2130	890
Sample1065	36816	2171	885
Sample1066	36824	2200	886
Sample1067	36819	2238	879
Sample1068	36771	2318	877
Sample1069	36657	2452	880
Sample1070	36840	2335	893
Sample1071	36863	2355	883
Sample1072	36909	2343	877
Sample1073	37154	2170	883
Sample1074	37216	2153	878
Sample1075	37177	2214	885
Sample1076	37157	2275	874
Sample1077	37204	2259	871
Sample1078	37229	2259	873
Sample1079	37199	2291	877
Sample1080	37203	2336	870
Sample1081	37177	2395	867
Sample1082	37165	2439	863
Sample1083	37168	2473	856
Sample1084	37271	2419	844
Sample1085	37274	2452	837
Sample1086	37235	2524	831
Sample1087	37200	2593	825
Sample1088	37166	2632	847
Sample1089	37217	2615	837
Sample1090	37252	2621	834
Sample1091	37259	2649	828
Sample1092	37273	2673	822
Sample1093	37330	2656	807
Sample1094	37313	2703	804
