Samples	Signature A	Signature B	Signature C
Sample1	0.00E+00	0.00E+00	0.00E+00
Sample2	0.00E+00	0.00E+00	0.00E+00
Sample3	3.73E+00	0.00E+00	3.73E+00
Sample4	7.98E+00	0.00E+00	7.98E+00
Sample5	1.59E+01	0.00E+00	1.59E+01
Sample6	1.24E+01	0.00E+00	1.24E+01
Sample7	6.27E+00	2.48E+01	2.84E+01
Sample8	6.05E+00	2.24E+01	1.97E+01
Sample9	7.16E+00	1.71E+01	1.77E+01
Sample10	6.44E+00	2.97E+01	3.28E+01
Sample11	1.09E+01	2.55E+01	2.84E+01
Sample12	1.51E+01	7.46E+00	1.74E+01
Sample13	6.50E+00	2.88E+00	6.49E+00
Sample14	8.90E+00	5.56E+00	1.15E+01
Sample15	7.40E+00	5.00E+00	7.48E+00
Sample16	1.28E+01	0.00E+00	1.28E+01
Sample17	1.41E+01	2.75E+00	1.37E+01
Sample18	1.18E+01	5.76E+01	4.99E+01
Sample19	9.05E+00	4.69E+01	5.01E+01
Sample20	1.61E+01	7.30E+01	6.79E+01
Sample21	1.16E+01	4.75E+01	4.11E+01
Sample22	1.49E+01	1.68E+01	1.95E+01
Sample23	1.38E+01	6.63E+01	6.41E+01
Sample24	1.39E+01	3.02E+01	2.65E+01
Sample25	6.73E+00	4.45E+01	4.42E+01
Sample26	1.03E+01	3.68E+01	3.87E+01
Sample27	1.57E+01	5.32E+01	6.25E+01
Sample28	1.33E+01	5.77E+01	5.76E+01
Sample29	1.74E+01	4.35E+01	3.41E+01
Sample30	1.55E+01	5.26E+01	5.61E+01
Sample31	1.25E+01	1.58E+01	1.60E+01
Sample32	6.50E+00	4.46E+01	4.41E+01
Sample33	1.04E+01	5.58E+01	4.91E+01
Sample34	1.47E+01	5.77E+01	5.39E+01
Sample35	1.13E+01	9.09E+01	8.95E+01
Sample36	1.68E+01	9.66E+01	9.06E+01
Sample37	1.99E+01	6.49E+01	6.22E+01
Sample38	1.56E+01	5.30E+01	4.96E+01
Sample39	1.75E+01	7.54E+01	8.28E+01
Sample40	1.61E+01	4.74E+01	5.99E+01
Sample41	2.21E+01	7.68E+01	8.25E+01
Sample42	1.03E+01	9.06E+01	8.33E+01
Sample43	2.15E+01	9.33E+01	8.33E+01
Sample44	2.75E+01	9.34E+01	1.05E+02
Sample45	1.48E+01	9.11E+01	8.51E+01
Sample46	1.21E+01	7.46E+01	7.75E+01
Sample47	2.02E+01	5.98E+01	6.64E+01
Sample48	1.36E+01	6.79E+01	6.71E+01
Sample49	1.17E+01	9.73E+01	8.92E+01
Sample50	2.00E+01	8.48E+01	8.55E+01
Sample51	2.01E+01	6.68E+01	7.67E+01
Sample52	9.28E+00	6.52E+01	6.24E+01
Sample53	1.44E+01	4.65E+01	3.26E+01
Sample54	1.18E+01	6.46E+01	6.79E+01
Sample55	8.44E+00	4.99E+01	5.44E+01
Sample56	1.43E+01	3.10E+01	3.87E+01
Sample57	2.36E+01	7.01E+01	8.23E+01
Sample58	1.37E+01	8.83E+01	8.38E+01
Sample59	1.10E+01	2.14E+01	1.78E+01
Sample60	1.59E+01	1.01E+02	9.68E+01
Sample61	1.74E+01	2.86E+01	2.98E+01
Sample62	9.35E+00	7.38E+01	7.13E+01
Sample63	1.36E+01	5.60E+01	5.88E+01
Sample64	1.25E+01	3.98E+01	3.14E+01
Sample65	1.85E+01	1.03E+01	2.45E+01
Sample66	1.65E+01	8.23E+00	1.75E+01
Sample67	9.74E+00	2.35E+01	2.17E+01
Sample68	1.33E+01	2.50E-01	1.34E+01
Sample69	1.41E+01	4.71E+01	4.64E+01
Sample70	1.97E+01	3.64E+01	4.83E+01
Sample71	2.13E+01	1.94E+01	2.96E+01
Sample72	1.30E+01	8.36E+01	7.82E+01
Sample73	1.13E+01	3.24E+01	3.93E+01
Sample74	1.85E+01	5.15E+01	4.75E+01
Sample75	2.12E+01	0.00E+00	2.12E+01
Sample76	2.42E+01	0.00E+00	2.43E+01
Sample77	1.42E+01	6.56E+01	6.09E+01
Sample78	2.32E+01	2.32E+01	2.53E+01
Sample79	1.52E+01	4.56E+01	4.48E+01
Sample80	1.26E+01	4.93E+01	4.36E+01
Sample81	1.10E+01	8.37E+01	7.80E+01
Sample82	1.22E+01	4.09E+01	3.90E+01
Sample83	1.93E+01	9.65E+01	9.62E+01
Sample84	1.45E+01	3.93E+01	3.23E+01
Sample85	1.63E+01	1.22E+01	1.90E+01
Sample86	9.69E+00	3.32E+01	2.59E+01
Sample87	1.88E+01	4.90E+01	4.88E+01
Sample88	9.66E+00	4.02E+01	3.37E+01
Sample89	1.33E+01	6.71E+01	6.05E+01
Sample90	1.63E+01	5.37E+01	5.44E+01
Sample91	1.38E+01	4.80E+01	5.12E+01
Sample92	1.56E+01	4.44E+01	4.68E+01
Sample93	1.03E+01	4.77E+01	3.95E+01
Sample94	1.09E+01	2.63E-01	1.08E+01
Sample95	1.57E+01	5.16E+01	5.05E+01
Sample96	1.08E+01	6.20E-01	1.08E+01
Sample97	1.44E+01	1.40E+01	2.50E+01
Sample98	1.68E+01	3.87E+01	3.29E+01
Sample99	1.73E+01	1.13E+01	1.74E+01
Sample100	1.47E+01	1.89E+01	2.83E+01
Sample101	2.14E+01	6.34E+01	7.77E+01
Sample102	1.74E+01	1.75E+01	2.84E+01
Sample103	1.34E+01	1.70E+01	2.02E+01
Sample104	1.48E+01	1.63E+01	2.07E+01
Sample105	1.38E+01	3.05E+01	3.46E+01
Sample106	1.82E+01	3.19E+01	4.51E+01
Sample107	2.30E+01	3.46E+01	3.31E+01
Sample108	1.38E+01	2.84E+01	3.72E+01
Sample109	2.12E+01	1.56E+01	1.81E+01
Sample110	1.82E+01	1.45E+01	1.60E+01
Sample111	1.96E+01	9.24E+01	8.24E+01
Sample112	2.11E+01	9.61E+01	9.86E+01
Sample113	2.38E+01	5.51E+01	4.85E+01
Sample114	1.99E+01	3.20E+01	3.77E+01
Sample115	2.67E+01	6.66E+01	4.71E+01
Sample116	2.71E+01	1.75E+01	2.25E+01
Sample117	1.84E+01	6.25E+01	5.56E+01
Sample118	1.53E+01	2.44E+01	3.12E+01
Sample119	2.18E+01	8.83E+01	7.87E+01
Sample120	1.62E+01	9.25E+01	8.79E+01
Sample121	1.93E+01	9.01E+01	8.33E+01
Sample122	1.61E+01	9.39E+01	8.75E+01
Sample123	1.18E+01	1.07E+02	1.02E+02
Sample124	1.31E+01	6.65E+01	6.64E+01
Sample125	2.29E+01	8.38E+01	7.92E+01
Sample126	1.66E+01	1.06E+02	1.09E+02
Sample127	1.88E+01	1.14E+02	1.05E+02
Sample128	2.01E+01	1.33E+02	1.24E+02
Sample129	1.86E+01	6.68E+01	5.77E+01
Sample130	1.32E+01	1.29E+02	1.34E+02
Sample131	1.63E+01	1.05E+02	9.33E+01
Sample132	1.68E+01	8.35E+01	8.92E+01
Sample133	1.59E+01	6.02E+01	6.50E+01
Sample134	1.05E+01	7.69E+01	7.56E+01
Sample135	1.79E+01	1.58E+01	2.38E+01
Sample136	1.23E+01	1.14E+01	1.50E+01
Sample137	1.91E+01	5.46E+01	5.24E+01
Sample138	1.82E+01	1.02E+01	1.90E+01
Sample139	1.64E+01	1.06E+02	9.60E+01
Sample140	2.20E+01	1.40E+02	1.25E+02
Sample141	2.40E+01	5.84E+01	5.74E+01
Sample142	1.43E+01	1.47E+02	1.38E+02
Sample143	1.80E+01	1.00E+02	8.96E+01
Sample144	1.82E+01	1.34E+02	1.26E+02
Sample145	2.87E+01	6.28E+01	4.84E+01
Sample146	2.43E+01	8.86E+01	8.53E+01
Sample147	1.78E+01	6.12E+01	5.27E+01
Sample148	2.22E+01	1.08E+02	1.17E+02
Sample149	1.99E+01	1.38E+02	1.31E+02
Sample150	1.25E+01	1.49E+02	1.47E+02
Sample151	1.95E+01	1.21E+02	1.20E+02
Sample152	1.46E+01	1.70E+02	1.62E+02
Sample153	1.94E+01	1.34E+02	1.31E+02
Sample154	2.39E+01	1.32E+02	1.27E+02
Sample155	1.67E+01	9.38E+01	8.42E+01
Sample156	1.61E+01	1.42E+02	1.35E+02
Sample157	1.99E+01	7.96E+01	7.84E+01
Sample158	1.71E+01	9.50E+01	9.74E+01
Sample159	1.87E+01	5.84E+01	5.72E+01
Sample160	1.83E+01	3.48E+01	3.60E+01
Sample161	1.05E+01	4.80E+01	4.57E+01
Sample162	2.49E+01	8.37E+01	9.43E+01
Sample163	1.85E+01	5.01E+01	4.93E+01
Sample164	1.96E+01	1.29E+02	1.20E+02
Sample165	1.70E+01	1.07E+02	9.93E+01
Sample166	2.48E+01	6.50E+01	7.76E+01
Sample167	1.58E+01	6.38E+01	5.98E+01
Sample168	2.65E+01	1.25E+02	1.29E+02
Sample169	2.75E+01	1.26E+02	1.15E+02
Sample170	2.60E+01	8.54E+01	7.54E+01
Sample171	2.93E+01	7.59E+01	8.34E+01
Sample172	2.40E+01	1.06E+02	9.96E+01
Sample173	2.71E+01	7.46E+01	6.98E+01
Sample174	2.36E+01	8.83E+01	7.78E+01
Sample175	1.74E+01	6.15E+01	5.37E+01
Sample176	2.53E+01	1.47E+02	1.38E+02
Sample177	1.70E+01	1.13E+02	1.00E+02
Sample178	2.60E+01	8.06E+01	8.11E+01
Sample179	1.68E+01	6.75E+01	7.10E+01
Sample180	2.55E+01	1.30E+02	1.20E+02
Sample181	1.62E+01	6.51E+01	6.60E+01
Sample182	2.83E+01	1.00E+02	9.69E+01
Sample183	2.26E+01	1.48E+02	1.35E+02
Sample184	1.87E+01	1.74E+02	1.70E+02
Sample185	2.14E+01	1.91E+02	1.78E+02
Sample186	2.26E+01	1.37E+02	1.32E+02
Sample187	1.78E+01	1.53E+02	1.43E+02
Sample188	1.93E+01	1.33E+02	1.21E+02
Sample189	1.67E+01	1.31E+02	1.36E+02
Sample190	2.64E+01	1.31E+02	1.31E+02
Sample191	2.47E+01	1.36E+02	1.25E+02
Sample192	2.91E+01	1.28E+02	1.27E+02
Sample193	2.37E+01	1.37E+02	1.31E+02
Sample194	2.09E+01	1.40E+02	1.31E+02
Sample195	2.51E+01	1.39E+02	1.33E+02
Sample196	1.87E+01	1.55E+02	1.52E+02
Sample197	1.62E+01	1.09E+02	1.08E+02
Sample198	2.22E+01	1.51E+02	1.49E+02
Sample199	1.38E+01	1.15E+02	1.10E+02
Sample200	3.14E+01	1.03E+02	9.00E+01
Sample201	2.14E+01	1.86E+02	1.88E+02
Sample202	1.61E+01	1.07E+02	1.01E+02
Sample203	1.30E+01	2.20E+02	2.15E+02
Sample204	9.25E+00	1.07E+02	1.04E+02
Sample205	0.00E+00	1.63E+02	1.63E+02
Sample206	2.56E+01	1.43E+02	1.39E+02
Sample207	1.54E+01	1.42E+02	1.39E+02
Sample208	7.45E+00	1.56E+02	1.57E+02
Sample209	4.62E+00	1.66E+02	1.67E+02
Sample210	7.50E+00	1.80E+02	1.84E+02
Sample211	2.59E+01	9.77E+01	8.97E+01
Sample212	1.25E+01	7.66E+01	7.39E+01
Sample213	0.00E+00	1.32E+02	1.32E+02
Sample214	2.31E+01	1.80E+02	1.71E+02
Sample215	2.47E+01	1.84E+02	1.80E+02
Sample216	1.59E+01	1.55E+02	1.43E+02
Sample217	2.75E+01	1.57E+02	1.37E+02
Sample218	1.94E+01	1.78E+02	1.73E+02
Sample219	2.71E+01	2.14E+02	2.14E+02
Sample220	3.28E+01	1.72E+02	1.47E+02
Sample221	1.71E+01	1.39E+02	1.35E+02
Sample222	2.07E+01	1.32E+02	1.28E+02
Sample223	3.37E+01	1.82E+02	1.73E+02
Sample224	3.02E+01	1.86E+02	2.04E+02
Sample225	2.74E+01	1.90E+02	1.83E+02
Sample226	2.65E+01	1.77E+02	1.53E+02
Sample227	3.23E+01	2.66E+02	2.59E+02
Sample228	2.03E+01	9.82E+01	9.08E+01
Sample229	2.25E+01	1.40E+02	1.32E+02
Sample230	2.56E+01	1.69E+02	1.68E+02
Sample231	2.21E+01	3.25E+02	3.12E+02
Sample232	3.09E+01	2.57E+02	2.50E+02
Sample233	1.81E+01	1.46E+02	1.36E+02
Sample234	1.42E+01	2.60E+02	2.50E+02
Sample235	1.26E+01	1.56E+02	1.52E+02
Sample236	2.96E+01	1.54E+02	1.43E+02
Sample237	2.51E+01	3.07E+02	2.98E+02
Sample238	2.53E+01	2.11E+02	2.00E+02
Sample239	2.63E+01	3.38E+02	3.24E+02
Sample240	2.33E+01	2.29E+02	2.17E+02
Sample241	2.76E+01	2.43E+02	2.30E+02
Sample242	2.75E+01	2.95E+02	2.84E+02
Sample243	3.26E+01	2.09E+02	1.91E+02
Sample244	2.41E+01	1.29E+02	1.19E+02
Sample245	2.90E+01	2.87E+02	2.74E+02
Sample246	1.37E+01	1.90E+02	1.87E+02
Sample247	2.32E+01	1.56E+02	1.63E+02
Sample248	1.80E+01	1.71E+02	1.72E+02
Sample249	2.42E+01	2.06E+02	2.01E+02
Sample250	2.52E+01	2.09E+02	2.08E+02
Sample251	3.91E+01	2.13E+02	2.08E+02
Sample252	1.72E+01	2.83E+02	2.84E+02
Sample253	3.00E+01	3.09E+02	3.08E+02
Sample254	2.42E+01	2.12E+02	2.07E+02
Sample255	2.82E+01	2.11E+02	1.96E+02
Sample256	2.05E+01	2.87E+02	2.86E+02
Sample257	2.01E+01	1.32E+02	1.35E+02
Sample258	3.15E+01	1.16E+02	1.22E+02
Sample259	2.82E+01	3.71E+02	3.51E+02
Sample260	2.49E+01	1.22E+02	1.20E+02
Sample261	3.07E+01	2.72E+02	2.66E+02
Sample262	2.69E+01	1.23E+02	1.16E+02
Sample263	2.46E+01	1.26E+02	1.23E+02
Sample264	2.23E+01	1.77E+02	1.83E+02
Sample265	2.51E+01	2.40E+02	2.27E+02
Sample266	3.13E+01	1.35E+02	1.32E+02
Sample267	1.65E+01	9.17E+01	9.12E+01
Sample268	2.27E+01	1.65E+02	1.63E+02
Sample269	2.93E+01	2.32E+02	2.16E+02
Sample270	3.72E+01	2.01E+02	1.76E+02
Sample271	3.49E+01	3.80E+02	3.68E+02
Sample272	2.28E+01	2.41E+02	2.35E+02
Sample273	3.43E+01	1.12E+02	1.10E+02
Sample274	3.79E+01	2.19E+02	2.00E+02
Sample275	3.40E+01	3.28E+02	3.14E+02
Sample276	3.84E+01	2.18E+02	1.95E+02
Sample277	4.38E+01	3.03E+02	2.96E+02
Sample278	2.47E+01	1.52E+02	1.46E+02
Sample279	2.79E+01	1.90E+02	1.89E+02
Sample280	2.30E+01	1.50E+02	1.38E+02
Sample281	2.99E+01	1.66E+02	1.53E+02
Sample282	4.59E+01	2.26E+02	2.28E+02
Sample283	2.97E+01	2.89E+02	2.94E+02
Sample284	4.27E+01	2.08E+02	1.76E+02
Sample285	2.65E+01	1.76E+02	1.65E+02
Sample286	2.35E+01	1.78E+02	1.97E+02
Sample287	5.22E+01	2.36E+02	2.03E+02
Sample288	2.79E+01	1.63E+02	1.61E+02
Sample289	1.80E+01	2.29E+02	2.28E+02
Sample290	1.97E+01	2.27E+02	2.26E+02
Sample291	3.31E+01	2.39E+02	2.38E+02
Sample292	3.67E+01	2.10E+02	1.97E+02
Sample293	2.71E+01	2.75E+02	2.66E+02
Sample294	3.29E+01	3.19E+02	3.30E+02
Sample295	3.32E+01	2.95E+02	2.85E+02
Sample296	2.78E+01	2.17E+02	2.06E+02
Sample297	3.45E+01	2.79E+02	2.74E+02
Sample298	3.18E+01	1.96E+02	1.73E+02
Sample299	1.81E+01	1.92E+02	1.88E+02
Sample300	1.96E+01	2.20E+02	2.08E+02
Sample301	2.78E+01	1.16E+02	1.21E+02
Sample302	2.06E+01	1.91E+02	1.82E+02
Sample303	3.20E+01	9.35E+01	8.13E+01
Sample304	2.89E+01	2.19E+02	2.15E+02
Sample305	3.11E+01	1.45E+02	1.46E+02
Sample306	3.72E+01	1.69E+02	1.53E+02
Sample307	2.36E+01	2.68E+02	2.55E+02
Sample308	2.62E+01	2.35E+02	2.21E+02
Sample309	2.23E+01	2.59E+02	2.49E+02
Sample310	2.76E+01	2.74E+02	2.82E+02
Sample311	2.88E+01	3.19E+02	2.94E+02
Sample312	3.49E+01	2.16E+02	2.11E+02
Sample313	3.27E+01	2.04E+02	1.93E+02
Sample314	3.25E+01	1.86E+02	1.78E+02
Sample315	3.13E+01	2.94E+02	2.77E+02
Sample316	2.14E+01	2.39E+02	2.44E+02
Sample317	3.31E+01	2.35E+02	2.07E+02
Sample318	4.01E+01	2.89E+02	2.73E+02
Sample319	2.20E+01	2.12E+02	2.19E+02
Sample320	3.40E+01	3.42E+02	3.16E+02
Sample321	3.97E+01	1.94E+02	1.78E+02
Sample322	3.96E+01	2.20E+02	1.96E+02
Sample323	3.50E+01	2.67E+02	2.54E+02
Sample324	3.62E+01	2.37E+02	2.44E+02
Sample325	4.59E+01	2.62E+02	2.37E+02
Sample326	2.61E+01	2.71E+02	2.69E+02
Sample327	3.17E+01	4.25E+02	3.97E+02
Sample328	2.40E+01	2.11E+02	2.02E+02
Sample329	3.45E+01	2.72E+02	2.90E+02
Sample330	2.30E+01	4.10E+02	3.88E+02
Sample331	5.34E+01	3.09E+02	2.86E+02
Sample332	2.20E+01	2.91E+02	3.01E+02
Sample333	4.53E+01	2.72E+02	2.60E+02
Sample334	2.21E+01	2.23E+02	2.07E+02
Sample335	3.09E+01	2.21E+02	2.03E+02
Sample336	3.46E+01	2.46E+02	2.56E+02
Sample337	3.70E+01	3.34E+02	3.20E+02
Sample338	4.99E+01	2.33E+02	2.06E+02
Sample339	2.00E+01	1.29E+02	1.26E+02
Sample340	5.96E+01	3.20E+02	2.72E+02
Sample341	4.39E+01	3.47E+02	3.11E+02
Sample342	3.25E+01	2.48E+02	2.58E+02
Sample343	2.84E+01	2.59E+02	2.47E+02
Sample344	2.60E+01	1.96E+02	1.88E+02
Sample345	3.18E+01	1.44E+02	1.47E+02
Sample346	3.32E+01	1.06E+02	1.22E+02
Sample347	4.31E+01	2.56E+02	2.35E+02
Sample348	3.75E+01	3.66E+02	3.43E+02
Sample349	2.31E+01	2.54E+02	2.55E+02
Sample350	3.51E+01	1.19E+02	1.23E+02
Sample351	3.99E+01	1.94E+02	1.68E+02
Sample352	4.10E+01	3.26E+02	3.15E+02
Sample353	3.02E+01	2.25E+02	2.21E+02
Sample354	3.95E+01	2.52E+02	2.25E+02
Sample355	3.33E+01	1.92E+02	1.64E+02
Sample356	3.77E+01	2.65E+02	2.45E+02
Sample357	2.87E+01	2.87E+02	2.76E+02
Sample358	2.51E+01	2.82E+02	2.97E+02
Sample359	3.45E+01	2.55E+02	2.59E+02
Sample360	3.91E+01	2.36E+02	2.18E+02
Sample361	3.20E+01	2.16E+02	2.14E+02
Sample362	3.80E+01	2.40E+02	2.18E+02
Sample363	4.24E+01	2.79E+02	2.75E+02
Sample364	2.59E+01	2.67E+02	2.60E+02
Sample365	2.83E+01	2.50E+02	2.48E+02
Sample366	3.33E+01	3.22E+02	2.99E+02
Sample367	3.59E+01	3.24E+02	3.22E+02
Sample368	4.32E+01	2.07E+02	1.84E+02
Sample369	1.99E+01	2.47E+02	2.34E+02
Sample370	2.25E+01	3.26E+02	3.27E+02
Sample371	3.08E+01	3.15E+02	3.07E+02
Sample372	4.18E+01	3.81E+02	3.43E+02
Sample373	4.08E+01	3.31E+02	3.14E+02
Sample374	2.95E+01	2.99E+02	2.80E+02
Sample375	4.46E+01	2.64E+02	2.44E+02
Sample376	2.83E+01	3.14E+02	3.08E+02
Sample377	3.00E+01	2.96E+02	2.81E+02
Sample378	3.86E+01	2.13E+02	2.16E+02
Sample379	4.34E+01	3.08E+02	2.95E+02
Sample380	2.63E+01	3.61E+02	3.49E+02
Sample381	2.67E+01	3.53E+02	3.53E+02
Sample382	3.18E+01	2.05E+02	2.00E+02
Sample383	3.80E+01	3.51E+02	3.30E+02
Sample384	3.29E+01	2.22E+02	2.33E+02
Sample385	3.46E+01	1.95E+02	1.93E+02
Sample386	3.57E+01	2.23E+02	2.18E+02
Sample387	4.15E+01	2.98E+02	3.08E+02
Sample388	2.45E+01	2.59E+02	2.66E+02
Sample389	2.66E+01	2.99E+02	2.85E+02
Sample390	2.47E+01	2.41E+02	2.35E+02
Sample391	2.55E+01	1.61E+02	1.48E+02
Sample392	4.67E+01	3.07E+02	3.03E+02
Sample393	4.00E+01	2.85E+02	2.78E+02
Sample394	4.35E+01	3.55E+02	3.38E+02
Sample395	3.06E+01	1.88E+02	1.93E+02
Sample396	5.68E+01	2.50E+02	2.18E+02
Sample397	6.10E+01	3.18E+02	2.88E+02
Sample398	3.70E+01	3.79E+02	3.55E+02
Sample399	5.59E+01	2.72E+02	2.58E+02
Sample400	4.35E+01	2.07E+02	1.95E+02
Sample401	5.23E+01	2.98E+02	3.03E+02
Sample402	4.34E+01	2.29E+02	2.04E+02
Sample403	2.79E+01	3.44E+02	3.38E+02
Sample404	3.14E+01	2.92E+02	2.75E+02
Sample405	3.84E+01	2.08E+02	2.02E+02
Sample406	3.91E+01	1.68E+02	1.96E+02
Sample407	2.74E+01	1.55E+02	1.46E+02
Sample408	3.86E+01	2.83E+02	2.68E+02
Sample409	2.81E+01	1.06E+02	9.51E+01
Sample410	3.49E+01	1.49E+02	1.42E+02
Sample411	5.12E+01	3.48E+02	3.16E+02
Sample412	4.43E+01	1.90E+02	1.73E+02
Sample413	3.27E+01	2.84E+02	2.89E+02
Sample414	2.92E+01	2.60E+02	2.37E+02
Sample415	3.96E+01	3.20E+02	2.87E+02
Sample416	3.09E+01	2.92E+02	2.73E+02
Sample417	2.93E+01	2.59E+02	2.44E+02
Sample418	4.86E+01	3.20E+02	3.09E+02
Sample419	4.34E+01	2.43E+02	2.30E+02
Sample420	3.13E+01	1.99E+02	1.89E+02
Sample421	2.31E+01	2.77E+02	2.85E+02
Sample422	5.65E+01	4.56E+02	4.20E+02
Sample423	3.16E+01	2.84E+02	2.78E+02
Sample424	5.71E+01	3.29E+02	3.17E+02
Sample425	4.82E+01	3.29E+02	3.02E+02
Sample426	4.88E+01	1.34E+02	1.52E+02
Sample427	4.26E+01	3.65E+02	3.31E+02
Sample428	6.09E+01	5.17E+02	4.87E+02
Sample429	2.67E+01	2.12E+02	1.99E+02
Sample430	3.22E+01	2.18E+02	2.07E+02
Sample431	4.59E+01	3.00E+02	2.78E+02
Sample432	7.47E+01	2.48E+02	2.12E+02
Sample433	3.97E+01	3.45E+02	3.20E+02
Sample434	5.81E+01	2.30E+02	2.43E+02
Sample435	3.93E+01	4.30E+02	4.11E+02
Sample436	4.09E+01	2.90E+02	2.79E+02
Sample437	3.79E+01	3.32E+02	3.29E+02
Sample438	2.51E+01	2.71E+02	2.79E+02
Sample439	4.31E+01	2.60E+02	2.39E+02
Sample440	3.57E+01	2.76E+02	2.64E+02
Sample441	2.93E+01	2.16E+02	2.01E+02
Sample442	3.85E+01	2.30E+02	2.15E+02
Sample443	3.17E+01	3.05E+02	2.93E+02
Sample444	1.26E+01	3.63E+02	3.59E+02
Sample445	1.40E+01	1.98E+02	1.91E+02
Sample446	3.56E+01	2.45E+02	2.42E+02
Sample447	3.87E+01	4.41E+02	4.14E+02
Sample448	4.81E+01	2.74E+02	2.71E+02
Sample449	3.74E+01	4.57E+02	4.32E+02
Sample450	3.37E+01	3.39E+02	3.25E+02
Sample451	3.51E+01	3.05E+02	3.25E+02
Sample452	2.62E+01	3.72E+02	3.60E+02
Sample453	3.43E+01	4.09E+02	3.93E+02
Sample454	4.19E+01	3.39E+02	3.04E+02
Sample455	4.77E+01	2.61E+02	2.69E+02
Sample456	5.56E+01	3.61E+02	3.37E+02
Sample457	3.67E+01	2.37E+02	2.14E+02
Sample458	4.99E+01	3.82E+02	3.89E+02
Sample459	5.81E+01	2.12E+02	2.09E+02
Sample460	3.74E+01	2.73E+02	2.80E+02
Sample461	2.62E+01	3.08E+02	2.88E+02
Sample462	4.74E+01	2.63E+02	2.41E+02
Sample463	2.98E+01	3.31E+02	3.23E+02
Sample464	3.07E+01	2.98E+02	3.02E+02
Sample465	2.73E+01	2.58E+02	2.62E+02
Sample466	3.23E+01	1.93E+02	2.02E+02
Sample467	4.29E+01	3.39E+02	3.15E+02
Sample468	4.03E+01	2.60E+02	2.38E+02
Sample469	4.28E+01	2.23E+02	2.40E+02
Sample470	2.95E+01	2.98E+02	2.96E+02
Sample471	3.52E+01	2.74E+02	2.52E+02
Sample472	4.50E+01	2.95E+02	2.72E+02
Sample473	3.43E+01	3.23E+02	3.28E+02
Sample474	2.98E+01	2.71E+02	2.57E+02
Sample475	2.62E+01	3.26E+02	3.12E+02
Sample476	4.41E+01	2.52E+02	2.40E+02
Sample477	5.34E+01	3.25E+02	2.97E+02
Sample478	3.57E+01	2.01E+02	1.78E+02
Sample479	4.10E+01	3.83E+02	3.62E+02
Sample480	5.29E+01	2.72E+02	2.30E+02
Sample481	6.01E+01	3.66E+02	3.38E+02
Sample482	7.06E+01	2.27E+02	2.34E+02
Sample483	3.61E+01	2.59E+02	2.72E+02
Sample484	4.39E+01	2.44E+02	2.50E+02
Sample485	4.11E+01	2.72E+02	2.39E+02
Sample486	4.39E+01	3.18E+02	3.10E+02
Sample487	6.02E+01	1.95E+02	1.68E+02
Sample488	3.50E+01	2.77E+02	2.79E+02
Sample489	6.15E+01	3.93E+02	3.65E+02
Sample490	4.42E+01	2.55E+02	2.21E+02
Sample491	5.84E+01	4.66E+02	4.39E+02
Sample492	3.46E+01	1.92E+02	1.64E+02
Sample493	2.49E+01	3.09E+02	2.98E+02
Sample494	2.53E+01	2.98E+02	3.03E+02
Sample495	3.66E+01	4.19E+02	3.95E+02
Sample496	4.43E+01	3.32E+02	3.16E+02
Sample497	3.67E+01	2.59E+02	2.56E+02
Sample498	3.70E+01	2.65E+02	2.63E+02
Sample499	3.15E+01	2.73E+02	2.71E+02
Sample500	2.43E+01	3.08E+02	3.04E+02
Sample501	6.52E+01	2.53E+02	2.17E+02
Sample502	2.21E+01	1.97E+02	1.88E+02
Sample503	3.74E+01	1.58E+02	1.83E+02
Sample504	3.77E+01	2.97E+02	3.15E+02
Sample505	4.35E+01	2.88E+02	2.63E+02
Sample506	3.61E+01	2.03E+02	1.96E+02
Sample507	5.72E+01	3.49E+02	3.09E+02
Sample508	7.18E+01	3.84E+02	3.37E+02
Sample509	5.45E+01	1.31E+02	1.16E+02
Sample510	3.52E+01	2.87E+02	2.64E+02
Sample511	3.07E+01	3.70E+02	3.83E+02
Sample512	3.71E+01	2.39E+02	2.47E+02
Sample513	5.13E+01	1.59E+02	1.45E+02
Sample514	5.08E+01	3.12E+02	2.73E+02
Sample515	4.99E+01	2.33E+02	1.90E+02
Sample516	5.49E+01	3.64E+02	3.17E+02
Sample517	4.11E+01	2.63E+02	2.47E+02
Sample518	5.67E+01	3.29E+02	3.29E+02
Sample519	5.13E+01	4.31E+02	4.00E+02
Sample520	2.91E+01	3.38E+02	3.41E+02
Sample521	4.27E+01	4.30E+02	4.01E+02
Sample522	5.55E+01	6.35E+02	6.20E+02
Sample523	6.27E+01	2.83E+02	2.52E+02
Sample524	3.01E+01	2.28E+02	2.26E+02
Sample525	3.27E+01	5.07E+02	4.90E+02
Sample526	3.58E+01	1.59E+02	1.65E+02
Sample527	5.89E+01	2.86E+02	2.87E+02
Sample528	3.78E+01	3.43E+02	3.23E+02
Sample529	5.23E+01	1.91E+02	1.57E+02
Sample530	3.94E+01	3.31E+02	3.08E+02
Sample531	7.00E+01	3.94E+02	3.76E+02
Sample532	2.24E+01	2.87E+02	2.86E+02
Sample533	4.13E+01	2.52E+02	2.24E+02
Sample534	5.43E+01	4.06E+02	3.73E+02
Sample535	3.61E+01	2.73E+02	2.64E+02
Sample536	5.11E+01	3.20E+02	3.00E+02
Sample537	3.23E+01	3.83E+02	3.70E+02
