Samples	Signature A	Signature B	Signature C
Sample1191	8.52E+01	5.17E+02	4.96E+02
Sample1192	6.89E+01	4.76E+02	4.46E+02
Sample1193	9.22E+01	6.14E+02	5.51E+02
Sample1194	1.03E+02	4.25E+02	3.59E+02
Sample1195	9.11E+01	6.86E+02	6.37E+02
Sample1196	5.01E+01	3.99E+02	3.83E+02
Sample1197	1.02E+02	5.04E+02	4.87E+02
Sample1198	7.19E+01	4.37E+02	4.40E+02
Sample1199	9.47E+01	4.34E+02	4.66E+02
Sample1200	1.24E+02	5.64E+02	5.43E+02
Sample1201	7.72E+01	4.53E+02	4.86E+02
Sample1202	5.82E+01	3.99E+02	3.65E+02
Sample1203	1.13E+02	8.51E+02	8.35E+02
Sample1204	7.95E+01	5.18E+02	5.05E+02
Sample1205	4.89E+01	4.05E+02	4.10E+02
Sample1206	5.63E+01	4.35E+02	4.28E+02
Sample1207	9.78E+01	6.71E+02	5.90E+02
Sample1208	4.72E+01	4.45E+02	4.28E+02
Sample1209	5.88E+01	5.59E+02	5.18E+02
Sample1210	1.02E+02	6.42E+02	5.53E+02
Sample1211	5.64E+01	5.59E+02	5.58E+02
Sample1212	4.80E+01	6.07E+02	5.86E+02
Sample1213	8.58E+01	4.64E+02	4.36E+02
Sample1214	8.54E+01	3.11E+02	3.11E+02
Sample1215	9.07E+01	5.12E+02	5.09E+02
Sample1216	5.61E+01	5.92E+02	5.57E+02
Sample1217	8.09E+01	3.26E+02	2.98E+02
Sample1218	1.06E+02	6.16E+02	5.39E+02
Sample1219	7.58E+01	3.79E+02	3.77E+02
Sample1220	9.80E+01	4.58E+02	4.24E+02
Sample1221	5.54E+01	3.87E+02	4.14E+02
Sample1222	7.98E+01	4.84E+02	5.18E+02
Sample1223	9.06E+01	6.36E+02	5.91E+02
Sample1224	6.81E+01	4.60E+02	4.74E+02
Sample1225	1.04E+02	3.76E+02	4.42E+02
Sample1226	8.21E+01	7.05E+02	7.16E+02
Sample1227	1.38E+02	6.36E+02	5.81E+02
Sample1228	1.12E+02	5.70E+02	5.50E+02
Sample1229	8.01E+01	4.43E+02	3.91E+02
Sample1230	1.06E+02	5.42E+02	4.67E+02
Sample1231	9.20E+01	3.74E+02	3.65E+02
Sample1232	6.66E+01	4.48E+02	4.71E+02
Sample1233	7.22E+01	5.64E+02	5.73E+02
Sample1234	1.12E+02	5.45E+02	5.13E+02
Sample1235	8.58E+01	7.73E+02	7.85E+02
Sample1236	1.22E+02	6.26E+02	6.33E+02
Sample1237	5.85E+01	4.87E+02	4.74E+02
Sample1238	7.23E+01	5.99E+02	5.43E+02
Sample1239	1.10E+02	4.80E+02	4.54E+02
Sample1240	9.26E+01	5.34E+02	5.35E+02
Sample1241	4.81E+01	4.07E+02	3.81E+02
Sample1242	5.86E+01	6.33E+02	5.95E+02
Sample1243	9.24E+01	4.22E+02	3.48E+02
Sample1244	7.17E+01	3.41E+02	3.44E+02
Sample1245	6.40E+01	3.62E+02	3.60E+02
Sample1246	5.53E+01	6.44E+02	6.45E+02
Sample1247	9.09E+01	6.65E+02	6.20E+02
Sample1248	4.24E+01	4.78E+02	4.63E+02
Sample1249	7.11E+01	8.17E+02	7.85E+02
Sample1250	1.12E+02	6.82E+02	5.80E+02
Sample1251	9.25E+01	3.04E+02	2.87E+02
Sample1252	5.83E+01	4.48E+02	4.23E+02
Sample1253	9.46E+01	3.69E+02	3.59E+02
Sample1254	6.67E+01	4.22E+02	3.68E+02
Sample1255	8.08E+01	4.25E+02	4.11E+02
Sample1256	8.27E+01	3.99E+02	3.42E+02
Sample1257	7.57E+01	2.79E+02	2.37E+02
Sample1258	9.81E+01	7.88E+02	7.37E+02
Sample1259	1.23E+02	6.85E+02	6.66E+02
