Samples	Signature A	Signature B	Signature C	Signature D	Signature E
Sample187	2.02E+01	2.58E+01	2.97E+01	2.28E+01	1.01E+01
Sample188	5.15E+01	2.81E+01	2.66E+01	4.38E+01	7.50E+00
Sample189	1.74E+01	2.16E+01	1.08E+01	3.13E+01	8.66E+00
Sample190	1.24E+01	1.17E+01	1.41E+01	1.19E+01	8.78E+00
Sample191	1.43E+01	2.52E+01	2.60E+01	1.49E+01	8.70E+00
Sample192	2.18E+01	1.43E+01	2.15E+01	1.41E+01	1.14E+01
Sample193	1.91E+01	1.84E+01	3.88E+01	5.87E+01	5.61E+00
Sample194	2.42E+01	2.34E+01	1.89E+01	3.36E+01	1.48E+01
Sample195	1.30E+01	1.16E+01	1.37E+01	2.08E+01	9.97E+00
Sample196	1.99E+01	4.54E+01	1.44E+01	5.81E+01	1.89E+01
Sample197	4.06E+01	1.78E+01	1.93E+01	3.14E+01	9.81E+00
Sample198	1.47E+01	2.24E+01	2.66E+01	1.33E+01	6.67E+00
Sample199	1.95E+01	1.96E+01	1.40E+01	2.11E+01	1.25E+01
Sample200	1.99E+01	1.40E+01	1.98E+01	2.13E+01	9.06E+00
Sample201	1.85E+01	2.71E+01	2.49E+01	1.89E+01	1.46E+01
Sample202	3.18E+01	2.85E+01	1.26E+01	2.93E+01	9.92E+00
Sample203	1.97E+01	1.15E+01	2.34E+01	2.20E+01	1.32E+01
Sample204	1.64E+01	9.68E+00	1.57E+01	9.89E+00	1.29E+01
Sample205	2.92E+01	2.21E+01	1.79E+01	3.63E+01	1.03E+01
Sample206	2.63E+01	2.83E+01	2.28E+01	4.68E+01	1.68E+01
Sample207	9.42E+00	1.68E+01	2.42E+01	1.78E+01	6.35E+00
Sample208	1.75E+01	1.86E+01	2.63E+01	3.41E+01	8.73E+00
Sample209	2.71E+01	2.45E+01	1.46E+01	3.15E+01	1.33E+01
Sample210	4.35E+01	3.66E+01	1.73E+01	5.60E+01	9.30E+00
Sample211	1.82E+01	2.64E+01	4.51E+01	5.33E+01	5.43E+00
Sample212	3.39E+01	1.89E+01	2.10E+01	3.55E+01	7.70E+00
Sample213	5.17E+01	2.97E+01	2.18E+01	4.92E+01	7.61E+00
Sample214	1.06E+01	1.60E+01	8.43E+00	1.84E+01	1.23E+01
Sample215	1.75E+01	2.24E+01	2.62E+01	4.01E+01	1.54E+01
Sample216	1.92E+01	4.41E+01	2.54E+01	6.31E+01	2.86E+01
Sample217	2.99E+01	2.39E+01	2.32E+01	4.53E+01	3.38E+00
Sample218	1.43E+01	2.18E+01	1.88E+01	2.52E+01	9.51E+00
Sample219	2.78E+01	5.59E+01	2.48E+01	9.04E+01	3.98E+01
Sample220	3.36E+01	2.85E+01	9.35E+00	3.32E+01	1.75E+01
Sample221	3.53E+01	3.40E+01	1.45E+01	5.91E+01	1.05E+01
Sample222	2.07E+01	1.84E+01	2.45E+01	8.16E+00	1.39E+01
Sample223	2.72E+01	2.13E+01	1.95E+01	3.89E+01	9.33E+00
Sample224	4.46E+01	3.29E+01	1.85E+01	6.26E+01	9.63E+00
Sample225	1.31E+01	1.02E+01	1.31E+01	1.13E+01	1.08E+01
Sample226	2.36E+01	1.51E+01	1.90E+01	1.67E+01	1.10E+01
Sample227	1.88E+01	1.48E+01	1.10E+01	1.61E+01	1.42E+01
Sample228	2.36E+01	2.63E+01	1.76E+01	1.59E+01	1.02E+01
Sample229	2.13E+01	1.69E+01	1.49E+01	4.24E+01	1.70E+01
Sample230	2.61E+01	1.88E+01	1.58E+01	2.01E+01	1.10E+01
Sample231	1.46E+01	2.24E+01	1.16E+01	3.54E+01	1.77E+01
Sample232	2.87E+01	2.48E+01	1.91E+01	3.09E+01	1.50E+01
Sample233	1.27E+01	2.75E+01	3.10E+01	2.73E+01	5.67E+00
Sample234	1.29E+01	1.23E+01	1.21E+01	9.63E+00	1.19E+01
Sample235	2.44E+01	1.25E+01	2.63E+01	3.55E+01	8.61E+00
Sample236	2.06E+01	1.74E+01	2.24E+01	2.45E+01	1.12E+01
Sample237	1.64E+01	2.56E+01	2.16E+01	5.51E+01	7.26E+00
Sample238	1.15E+01	4.73E+01	2.79E+01	4.00E+01	1.97E+01
Sample239	1.45E+01	1.95E+01	1.15E+01	1.24E+01	6.63E+00
Sample240	1.16E+01	1.18E+01	1.56E+01	1.65E+01	1.28E+01
Sample241	2.04E+01	2.42E+01	1.81E+01	2.41E+01	1.30E+01
Sample242	2.23E+01	2.81E+01	2.39E+01	2.12E+01	1.71E+01
Sample243	2.51E+01	2.45E+01	1.82E+01	2.69E+01	7.42E+00
Sample244	1.62E+01	7.90E+00	1.02E+01	1.45E+01	7.40E+00
Sample245	2.31E+01	2.07E+01	2.93E+01	1.67E+01	8.40E+00
Sample246	1.95E+01	1.98E+01	1.66E+01	2.81E+01	1.04E+01
Sample247	1.75E+01	9.40E+00	2.09E+01	1.69E+01	8.78E+00
